ID	nr_annotation
NATL1A_74	WP_011822877.1 tetratricopeptide repeat protein [Prochlorococcus marinus]
NATL1A_75	WP_011822878.1 thermonuclease family protein [Prochlorococcus marinus]
NATL1A_76	WP_011822880.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_77	WP_011822881.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_78	WP_011822882.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_79	AJW30522.1 hypothetical protein FA02_0256 [Prochlorococcus marinus str. P0902-H212]
NATL1A_80	ABM74647.1 Hypothetical protein NATL1_00831 [Prochlorococcus marinus str. NATL1A]
NATL1A_81	WP_011822886.1 DUF4214 domain-containing protein [Prochlorococcus marinus]
NATL1A_82	WP_011822887.1 DUF4214 domain-containing protein [Prochlorococcus marinus]
NATL1A_83	ABM74650.1 Hypothetical protein NATL1_00861 [Prochlorococcus marinus str. NATL1A]
NATL1A_84	WP_011822889.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_85	WP_011822890.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_86	WP_011822891.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_87	WP_011822892.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_88	WP_011822894.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_89	WP_011822895.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_90	WP_041700473.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_91	WP_011822897.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_92	WP_011822898.1 DUF4214 domain-containing protein [Prochlorococcus marinus]
NATL1A_93	WP_011822899.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_94	WP_011822900.1 NAD(P)-binding protein [Prochlorococcus marinus]
NATL1A_95	WP_011822901.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_96	WP_011822902.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_97	WP_011822903.1 DUF2237 domain-containing protein [Prochlorococcus marinus]
NATL1A_98	WP_011822904.1 DUF4214 domain-containing protein [Prochlorococcus marinus]
NATL1A_99	WP_011822905.1 MULTISPECIES: high light inducible protein [Prochlorococcus]
NATL1A_100	WP_011822906.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_101	ABM74669.1 Hypothetical protein NATL1_01051 [Prochlorococcus marinus str. NATL1A]
NATL1A_102	ABM74670.1 Hypothetical protein NATL1_01061 [Prochlorococcus marinus str. NATL1A]
NATL1A_103	WP_011822909.1 SDR family oxidoreductase [Prochlorococcus marinus]
NATL1A_104	ABM74672.1 Hypothetical protein NATL1_01081 [Prochlorococcus marinus str. NATL1A]
NATL1A_105	WP_011294042.1 AAA family ATPase [Prochlorococcus marinus]
NATL1A_106	WP_011822911.1 ABC transporter ATP-binding protein/permease [Prochlorococcus marinus]
NATL1A_107	WP_011822912.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_108	WP_011822913.1 glycosyltransferase family 4 protein [Prochlorococcus marinus]
NATL1A_109	ABM74677.1 Hypothetical protein NATL1_01131 [Prochlorococcus marinus str. NATL1A]
NATL1A_110	WP_011294046.1 DUF3303 domain-containing protein [Prochlorococcus marinus]
NATL1A_111	WP_036904859.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_112	WP_011822916.1 THUMP domain-containing protein [Prochlorococcus marinus]
NATL1A_113	WP_011294048.1 phage holin family protein [Prochlorococcus marinus]
NATL1A_114	AJW30453.1 hypothetical protein FA02_0185 [Prochlorococcus marinus str. P0902-H212]
NATL1A_115	WP_011294050.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_116	WP_011822918.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_117	WP_011822919.1 chromosome segregation protein SMC [Prochlorococcus marinus]
NATL1A_118	WP_011822920.1 PRC-barrel domain-containing protein [Prochlorococcus marinus]
NATL1A_119	WP_011822921.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_120	WP_011822922.1 acetyl-CoA carboxylase biotin carboxylase subunit [Prochlorococcus marinus]
NATL1A_121	WP_011822923.1 YggT family protein [Prochlorococcus marinus]
NATL1A_122	WP_011294057.1 MULTISPECIES: photosystem II reaction center X protein [Prochlorococcus]
NATL1A_123	WP_011822924.1 Ycf66 family protein [Prochlorococcus marinus]
NATL1A_124	WP_011822925.1 chlorophyll a/b-binding protein [Prochlorococcus marinus]
NATL1A_125	WP_011822926.1 ABC transporter ATP-binding protein/permease [Prochlorococcus marinus]
NATL1A_126	WP_011822927.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_127	WP_011294062.1 histidine triad nucleotide-binding protein [Prochlorococcus marinus]
NATL1A_128	WP_011822928.1 peptide deformylase [Prochlorococcus marinus]
NATL1A_129	WP_011822929.1 prolyl oligopeptidase family serine peptidase [Prochlorococcus marinus]
NATL1A_130	WP_011822930.1 cysteine desulfurase [Prochlorococcus marinus]
NATL1A_131	WP_011822931.1 Fe-S cluster assembly protein SufD [Prochlorococcus marinus]
NATL1A_132	WP_011822932.1 Fe-S cluster assembly ATPase SufC [Prochlorococcus marinus]
NATL1A_133	WP_011822933.1 Fe-S cluster assembly protein SufB [Prochlorococcus marinus]
NATL1A_134	WP_011822934.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_135	AJW30431.1 hypothetical protein FA02_0163 [Prochlorococcus marinus str. P0902-H212]
NATL1A_136	WP_011822936.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_137	WP_011822937.1 alpha-D-glucose phosphate-specific phosphoglucomutase [Prochlorococcus marinus]
NATL1A_138	WP_011822938.1 AAA family ATPase [Prochlorococcus marinus]
NATL1A_139	WP_041700485.1 4'-phosphopantetheinyl transferase superfamily protein [Prochlorococcus marinus]
NATL1A_140	WP_011822940.1 thioredoxin-dependent thiol peroxidase [Prochlorococcus marinus]
NATL1A_141	ABM74709.1 Predicted transcriptional regulator [Prochlorococcus marinus str. NATL1A]
NATL1A_142	WP_011822942.1 phosphoadenylyl-sulfate reductase [Prochlorococcus marinus]
NATL1A_143	WP_041700487.1 FAD-dependent oxidoreductase [Prochlorococcus marinus]
NATL1A_144	WP_011822944.1 SLC13 family permease [Prochlorococcus marinus]
NATL1A_145	WP_011822945.1 potassium transporter TrkG [Prochlorococcus marinus]
NATL1A_146	WP_011294081.1 MULTISPECIES: TrkA family potassium uptake protein [Prochlorococcus]
NATL1A_147	WP_011822946.1 anhydro-N-acetylmuramic acid kinase [Prochlorococcus marinus]
NATL1A_148	"WP_011822947.1 ribbon-helix-helix protein, CopG family [Prochlorococcus marinus]"
NATL1A_149	WP_011294084.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_150	WP_011822948.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_151	WP_011822949.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_152	WP_011822950.1 ATP-binding cassette domain-containing protein [Prochlorococcus marinus]
NATL1A_153	WP_011822951.1 trypsin-like peptidase domain-containing protein [Prochlorococcus marinus]
NATL1A_154	WP_011822952.1 DUF2973 domain-containing protein [Prochlorococcus marinus]
NATL1A_155	WP_011822953.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_156	WP_011294091.1 MULTISPECIES: chlorophyll a/b-binding protein [Prochlorococcus]
NATL1A_157	WP_011822954.1 exodeoxyribonuclease VII large subunit [Prochlorococcus marinus]
NATL1A_158	WP_011822955.1 exodeoxyribonuclease VII small subunit [Prochlorococcus marinus]
NATL1A_159	WP_011822956.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_160	WP_011294095.1 YihY/virulence factor BrkB family protein [Prochlorococcus marinus]
NATL1A_161	WP_011822957.1 inositol monophosphatase family protein [Prochlorococcus marinus]
NATL1A_162	WP_011822958.1 TolC family protein [Prochlorococcus marinus]
NATL1A_163	WP_011822959.1 TIGR03279 family radical SAM protein [Prochlorococcus marinus]
NATL1A_164	WP_225866985.1 DUF3120 domain-containing protein [Prochlorococcus marinus]
NATL1A_165	WP_011822962.1 L-aspartate oxidase [Prochlorococcus marinus]
NATL1A_166	WP_011822963.1 vitamin K epoxide reductase family protein [Prochlorococcus marinus]
NATL1A_167	WP_011822964.1 DUF4346 domain-containing protein [Prochlorococcus marinus]
NATL1A_168	WP_011294104.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_169	WP_011822965.1 GNAT family N-acetyltransferase [Prochlorococcus marinus]
NATL1A_170	WP_011822966.1 RibD family protein [Prochlorococcus marinus]
NATL1A_171	WP_011822967.1 6-carboxytetrahydropterin synthase [Prochlorococcus marinus]
NATL1A_172	WP_011822968.1 shikimate kinase [Prochlorococcus marinus]
NATL1A_173	WP_011822969.1 MULTISPECIES: chlororespiratory reduction protein 7 [Prochlorococcus]
NATL1A_174	WP_011822970.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_175	WP_011822971.1 glutathione S-transferase N-terminal domain-containing protein [Prochlorococcus marinus]
NATL1A_176	WP_011822973.1 DUF751 family protein [Prochlorococcus marinus]
NATL1A_177	WP_011822974.1 30S ribosome-binding factor RbfA [Prochlorococcus marinus]
NATL1A_178	WP_011822975.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_179	WP_011822976.1 uroporphyrinogen-III synthase [Prochlorococcus marinus]
NATL1A_180	WP_011822977.1 SRPBCC family protein [Prochlorococcus marinus]
NATL1A_181	"WP_011822978.1 9,9'-di-cis-zeta-carotene desaturase [Prochlorococcus marinus]"
NATL1A_182	WP_011822979.1 iron-sulfur cluster assembly accessory protein [Prochlorococcus marinus]
NATL1A_183	WP_011822980.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_184	WP_011822981.1 TIGR01777 family oxidoreductase [Prochlorococcus marinus]
NATL1A_185	WP_011822982.1 NAD(P)H-quinone oxidoreductase subunit O [Prochlorococcus marinus]
NATL1A_186	WP_011822983.1 J domain-containing protein [Prochlorococcus marinus]
NATL1A_187	WP_011822984.1 cysteine synthase A [Prochlorococcus marinus]
NATL1A_188	ABM74761.1 Hypothetical protein NATL1_01971 [Prochlorococcus marinus str. NATL1A]
NATL1A_189	WP_011822986.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_190	WP_011822987.1 energy-coupling factor ABC transporter ATP-binding protein [Prochlorococcus marinus]
NATL1A_191	WP_011822988.1 response regulator transcription factor [Prochlorococcus marinus]
NATL1A_192	WP_011822989.1 AAA family ATPase [Prochlorococcus marinus]
NATL1A_193	WP_011822990.1 dTMP kinase [Prochlorococcus marinus]
NATL1A_194	WP_011822991.1 cation-translocating P-type ATPase [Prochlorococcus marinus]
NATL1A_195	AJW30367.1 photosystem I assembly related protein Ycf3 [Prochlorococcus marinus str. P0902-H212]
NATL1A_196	WP_011822993.1 DNA repair protein RadA [Prochlorococcus marinus]
NATL1A_197	WP_011822994.1 response regulator transcription factor [Prochlorococcus marinus]
NATL1A_198	WP_011822995.1 phosphate acyltransferase PlsX [Prochlorococcus marinus]
NATL1A_199	ABM74772.1 3-oxoacyl-[acyl-carrier-protein] synthase III [Prochlorococcus marinus str. NATL1A]
NATL1A_200	WP_011822997.1 ACP S-malonyltransferase [Prochlorococcus marinus]
NATL1A_201	ABM74774.1 putative 1-acyl-sn-glycerol-3-phosphate acyltransferase [Prochlorococcus marinus str. NATL1A]
NATL1A_202	WP_011822999.1 tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB [Prochlorococcus marinus]
NATL1A_203	WP_011823000.1 Ycf34 family protein [Prochlorococcus marinus]
NATL1A_204	WP_011823001.1 CCA tRNA nucleotidyltransferase [Prochlorococcus marinus]
NATL1A_205	WP_011823002.1 RNA-binding protein [Prochlorococcus marinus]
NATL1A_206	WP_011823003.1 phytoene synthase [Prochlorococcus marinus]
NATL1A_207	WP_011823004.1 15-cis-phytoene desaturase [Prochlorococcus marinus]
NATL1A_208	WP_011823005.1 NAD(P)H-quinone oxidoreductase subunit M [Prochlorococcus marinus]
NATL1A_209	WP_011823006.1 DUF3172 domain-containing protein [Prochlorococcus marinus]
NATL1A_210	WP_011823007.1 LysR family transcriptional regulator [Prochlorococcus marinus]
NATL1A_211	WP_011823008.1 membrane protein [Prochlorococcus marinus]
NATL1A_212	WP_011823009.1 NAD(P)H-quinone oxidoreductase subunit 5 [Prochlorococcus marinus]
NATL1A_213	WP_011823010.1 NAD(P)H-quinone oxidoreductase subunit 4 [Prochlorococcus marinus]
NATL1A_214	WP_011823011.1 segregation/condensation protein A [Prochlorococcus marinus]
NATL1A_215	WP_011294151.1 NDP-sugar synthase [Prochlorococcus marinus]
NATL1A_216	WP_011823012.1 methylenetetrahydrofolate reductase [Prochlorococcus marinus]
NATL1A_217	WP_011823013.1 response regulator transcription factor [Prochlorococcus marinus]
NATL1A_218	WP_011823015.1 CYTH domain-containing protein [Prochlorococcus marinus]
NATL1A_219	WP_011823016.1 NAD(+) kinase [Prochlorococcus marinus]
NATL1A_220	WP_011823017.1 NADH-quinone oxidoreductase subunit NuoK [Prochlorococcus marinus]
NATL1A_221	WP_011823018.1 NADH-quinone oxidoreductase subunit J [Prochlorococcus marinus]
NATL1A_222	WP_011823019.1 NAD(P)H-quinone oxidoreductase subunit I [Prochlorococcus marinus]
NATL1A_223	WP_011823020.1 NADH-quinone oxidoreductase subunit NuoH [Prochlorococcus marinus]
NATL1A_224	WP_011823021.1 citrate synthase [Prochlorococcus marinus]
NATL1A_225	WP_011823022.1 DUF3352 domain-containing protein [Prochlorococcus marinus]
NATL1A_226	WP_011823023.1 MULTISPECIES: sulfurtransferase [Prochlorococcus]
NATL1A_227	WP_011823024.1 tryptophan synthase subunit beta [Prochlorococcus marinus]
NATL1A_228	WP_011294165.1 MULTISPECIES: translation initiation factor [Prochlorococcus]
NATL1A_229	WP_011823025.1 adenylyl-sulfate kinase [Prochlorococcus marinus]
NATL1A_230	WP_011294167.1 MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase [Prochlorococcus]
NATL1A_231	WP_011823026.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_232	WP_011823027.1 magnesium protoporphyrin IX methyltransferase [Prochlorococcus marinus]
NATL1A_233	WP_011823028.1 response regulator transcription factor [Prochlorococcus marinus]
NATL1A_234	WP_011823029.1 cysteine desulfurase [Prochlorococcus marinus]
NATL1A_235	WP_011823030.1 16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH [Prochlorococcus marinus]
NATL1A_236	WP_011823031.1 NAD(P)H-quinone oxidoreductase subunit H [Prochlorococcus marinus]
NATL1A_237	WP_011823032.1 acyl-CoA thioesterase [Prochlorococcus marinus]
NATL1A_238	WP_011823033.1 AMP-binding protein [Prochlorococcus marinus]
NATL1A_239	WP_011823034.1 o-succinylbenzoate synthase [Prochlorococcus marinus]
NATL1A_240	"WP_011823035.1 2-carboxy-1,4-naphthoquinone phytyltransferase [Prochlorococcus marinus]"
NATL1A_241	WP_011823036.1 isochorismate synthase [Prochlorococcus marinus]
NATL1A_242	WP_011823037.1 glutathione synthase [Prochlorococcus marinus]
NATL1A_243	WP_011294180.1 MULTISPECIES: glutaredoxin 3 [Prochlorococcus]
NATL1A_244	ABM74820.1 peptide chain release factor RF-2 [Prochlorococcus marinus str. NATL1A]
NATL1A_245	WP_011294182.1 MULTISPECIES: DUF3285 domain-containing protein [Prochlorococcus]
NATL1A_246	WP_011823040.1 rRNA maturation RNase YbeY [Prochlorococcus marinus]
NATL1A_247	ABM74823.1 Prokaryotic diacylglycerol kinase [Prochlorococcus marinus str. NATL1A]
NATL1A_248	WP_011823042.1 MULTISPECIES: aminodeoxychorismate/anthranilate synthase component II [Prochlorococcus]
NATL1A_249	WP_011823043.1 histidinol-phosphate aminotransferase family protein [Prochlorococcus marinus]
NATL1A_250	WP_011823044.1 arginine--tRNA ligase [Prochlorococcus marinus]
NATL1A_251	WP_011823045.1 carboxylating nicotinate-nucleotide diphosphorylase [Prochlorococcus marinus]
NATL1A_252	WP_011823046.1 tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE [Prochlorococcus marinus]
NATL1A_253	WP_011823047.1 DUF2062 domain-containing protein [Prochlorococcus marinus]
NATL1A_254	"WP_011823048.1 bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [Prochlorococcus marinus]"
NATL1A_255	WP_011823049.1 ABC transporter ATP-binding protein [Prochlorococcus marinus]
NATL1A_256	WP_011823050.1 RluA family pseudouridine synthase [Prochlorococcus marinus]
NATL1A_257	WP_011823051.1 ribosome biogenesis GTPase YlqF [Prochlorococcus marinus]
NATL1A_258	WP_011823052.1 phosphoglycerate kinase [Prochlorococcus marinus]
NATL1A_259	WP_011823053.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_260	WP_011823054.1 undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Prochlorococcus marinus]
NATL1A_261	WP_011823055.1 aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme [Prochlorococcus marinus]
NATL1A_262	WP_011823056.1 quinone-dependent dihydroorotate dehydrogenase [Prochlorococcus marinus]
NATL1A_263	WP_011823057.1 ribonuclease HI [Prochlorococcus marinus]
NATL1A_264	WP_011823058.1 MULTISPECIES: 50S ribosomal protein L7/L12 [Prochlorococcus]
NATL1A_265	WP_011823059.1 50S ribosomal protein L10 [Prochlorococcus marinus]
NATL1A_266	WP_011294203.1 50S ribosomal protein L1 [Prochlorococcus marinus]
NATL1A_267	WP_011294204.1 50S ribosomal protein L11 [Prochlorococcus marinus]
NATL1A_268	WP_011823060.1 transcription termination/antitermination protein NusG [Prochlorococcus marinus]
NATL1A_269	WP_011294206.1 MULTISPECIES: preprotein translocase subunit SecE [Prochlorococcus]
NATL1A_270	WP_011823062.1 AAA family ATPase [Prochlorococcus marinus]
NATL1A_271	WP_011823063.1 phosphopyruvate hydratase [Prochlorococcus marinus]
NATL1A_272	WP_011823064.1 AarF/ABC1/UbiB kinase family protein [Prochlorococcus marinus]
NATL1A_273	WP_011823065.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_274	WP_011823067.1 FAD-dependent oxidoreductase [Prochlorococcus marinus]
NATL1A_275	WP_011823068.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_276	WP_011823069.1 sodium-dependent bicarbonate transport family permease [Prochlorococcus marinus]
NATL1A_277	WP_011823070.1 SulP family inorganic anion transporter [Prochlorococcus marinus]
NATL1A_278	WP_011823071.1 J domain-containing protein [Prochlorococcus marinus]
NATL1A_279	WP_011294216.1 porphobilinogen synthase [Prochlorococcus marinus]
NATL1A_280	WP_011823072.1 VOC family protein [Prochlorococcus marinus]
NATL1A_281	WP_011823073.1 endonuclease MutS2 [Prochlorococcus marinus]
NATL1A_282	WP_011823074.1 GTPase ObgE [Prochlorococcus marinus]
NATL1A_283	WP_011294220.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_284	WP_011294221.1 MULTISPECIES: hypothetical protein [Prochlorococcus]
NATL1A_285	WP_011823075.1 DUF2301 domain-containing membrane protein [Prochlorococcus marinus]
NATL1A_286	WP_011823076.1 glutathione S-transferase family protein [Prochlorococcus marinus]
NATL1A_287	WP_011823077.1 aspartoacylase [Prochlorococcus marinus]
NATL1A_288	WP_011294225.1 MULTISPECIES: photosystem II q(b) protein [Prochlorococcus]
NATL1A_289	WP_011823079.1 chorismate synthase [Prochlorococcus marinus]
NATL1A_290	WP_011823080.1 bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase [Prochlorococcus marinus]
NATL1A_291	WP_011823081.1 ATP-dependent zinc metalloprotease FtsH [Prochlorococcus marinus]
NATL1A_292	ABM74871.1 ATP-sulfurylase [Prochlorococcus marinus str. NATL1A]
NATL1A_293	WP_011294230.1 photosystem II manganese-stabilizing polypeptide [Prochlorococcus marinus]
NATL1A_294	WP_011823084.1 bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC [Prochlorococcus marinus]
NATL1A_295	ABM74875.1 conserved hypothetical protein [Prochlorococcus marinus str. NATL1A]
NATL1A_296	WP_011823086.1 aspartate carbamoyltransferase catalytic subunit [Prochlorococcus marinus]
NATL1A_297	ABM74877.1 possible Methylpurine-DNA glycosylase (MPG) [Prochlorococcus marinus str. NATL1A]
NATL1A_298	WP_011823088.1 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC [Prochlorococcus marinus]
NATL1A_299	WP_011823089.1 fatty acid desaturase [Prochlorococcus marinus]
NATL1A_300	WP_011823090.1 hypothetical protein [Prochlorococcus marinus]
NATL1A_301	WP_011823091.1 isoleucine--tRNA ligase [Prochlorococcus marinus]
NATL1A_302	WP_011823092.1 DUF3177 family protein [Prochlorococcus marinus]
NATL1A_303	WP_011823093.1 tRNA (guanosine(46)-N7)-methyltransferase TrmB [Prochlorococcus marinus]
NATL1A_304	WP_011823094.1 thioredoxin domain-containing protein [Prochlorococcus marinus]
NATL1A_305	WP_011823095.1 FAD-dependent thymidylate synthase [Prochlorococcus marinus]
NATL1A_306	WP_011294243.1 dCTP deaminase [Prochlorococcus marinus]
NATL1A_307	ABM74887.1 cob(I)alamin adenosyltransferase [Prochlorococcus marinus str. NATL1A]
