"seq_id"	"P5_mean_fpkm"	"P6_mean_fpkm"	"logFC.P6.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"abslogfc"	"KO_g"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp49876_c0_seq1.7185.9233.plus.P32"	50.42	0.95	-5.59	6.33e-06	"yes"	"down"	"K00627"	"map00010"	"Alteromonas"	5.59	"K00627_Alteromonas"	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"-"	"K00627 _ -"
"comp49876_c0_seq1.7185.9233.plus.P32"	50.42	0.95	-5.59	6.33e-06	"yes"	"down"	"K00627"	"map00020"	"Alteromonas"	5.59	"K00627_Alteromonas"	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"-"	"K00627 _ -"
"comp49876_c0_seq1.4488.7163.plus.P32"	64.97	1.42	-5.42	1.04e-05	"yes"	"down"	"K00163"	"map00010"	"Alteromonas"	5.42	"K00163_Alteromonas"	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)"	"K00163"	"pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	"aceE"	"K00163 _ aceE"
"comp49876_c0_seq1.4488.7163.plus.P32"	64.97	1.42	-5.42	1.04e-05	"yes"	"down"	"K00163"	"map00020"	"Alteromonas"	5.42	"K00163_Alteromonas"	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)"	"K00163"	"pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	"aceE"	"K00163 _ aceE"
"comp16495_c0_seq1.8383.9789.plus.P31"	37.07	3.82	-3.24	1.44e-05	"yes"	"down"	"K00128"	"map00010"	"Alteromonas"	3.24	"K00128_Alteromonas"	"Dehydrogenase"	"K00128"	"aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	"-"	"K00128 _ -"
"comp49797_c0_seq1.19949.21598.plus.P32"	42.16	2.3	-4.14	1.55e-05	"yes"	"down"	"K01810"	"map00010"	"Alteromonas"	4.14	"K01810_Alteromonas"	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp49797_c0_seq1.19949.21598.plus.P32"	42.16	2.3	-4.14	1.55e-05	"yes"	"down"	"K01810"	"map00030"	"Alteromonas"	4.14	"K01810_Alteromonas"	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp49797_c0_seq1.19949.21598.plus.P32"	42.16	2.3	-4.14	1.55e-05	"yes"	"down"	"K01810"	"map00500"	"Alteromonas"	4.14	"K01810_Alteromonas"	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp30880_c0_seq1.6375.7667.plus.P33"	91.84	4.39	-4.36	7.59e-05	"yes"	"down"	"K01689"	"map00010"	"Alteromonas"	4.36	"K01689_Alteromonas"	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"K01689"	"enolase [EC:4.2.1.11]"	"eno"	"K01689 _ eno"
"comp30713_c0_seq1.12390.13565.plus.P31"	23.69	2.33	-3.29	8.95e-05	"yes"	"down"	"K00927"	"map00010"	"Alteromonas"	3.29	"K00927_Alteromonas"	"phosphoglycerate kinase"	"K00927"	"phosphoglycerate kinase [EC:2.7.2.3]"	"pgk"	"K00927 _ pgk"
"comp50148_c50_seq1.1182.2159.plus.P32"	43.51	4.57	-3.22	0.000142	"yes"	"down"	"K03841"	"map00010"	"Alteromonas"	3.22	"K03841_Alteromonas"	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp50148_c50_seq1.1182.2159.plus.P32"	43.51	4.57	-3.22	0.000142	"yes"	"down"	"K03841"	"map00030"	"Alteromonas"	3.22	"K03841_Alteromonas"	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp50148_c50_seq1.1182.2159.plus.P32"	43.51	4.57	-3.22	0.000142	"yes"	"down"	"K03841"	"map00051"	"Alteromonas"	3.22	"K03841_Alteromonas"	"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"	"K03841"	"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	"-"	"K03841 _ -"
"comp13265_c0_seq1.9327.10979.plus.P33"	34.31	3.89	-3.11	0.000184	"yes"	"down"	"K01835"	"map00010"	"Alteromonas"	3.11	"K01835_Alteromonas"	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp13265_c0_seq1.9327.10979.plus.P33"	34.31	3.89	-3.11	0.000184	"yes"	"down"	"K01835"	"map00030"	"Alteromonas"	3.11	"K01835_Alteromonas"	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp13265_c0_seq1.9327.10979.plus.P33"	34.31	3.89	-3.11	0.000184	"yes"	"down"	"K01835"	"map00500"	"Alteromonas"	3.11	"K01835_Alteromonas"	"phosphoglucomutase"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp33593_c0_seq1.15095.16909.plus.P31"	62.66	11.8	-2.4	0.000229	"yes"	"down"	"K00114"	"map00010"	"Alteromonas"	2.4	"K00114_Alteromonas"	"Dehydrogenase"	"K00114"	"alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	"-"	"K00114 _ -"
"comp33652_c0_seq1.1378.2397.plus.P31"	36.8	5.35	-2.76	0.000476	"yes"	"down"	"K01785"	"map00010"	"Alteromonas"	2.76	"K01785_Alteromonas"	"converts alpha-aldose to the beta-anomer. It is active on D-glucose, L-arabinose, D-xylose, D-galactose, maltose and lactose (By similarity)"	"K01785"	"aldose 1-epimerase [EC:5.1.3.3]"	"-"	"K01785 _ -"
"comp33987_c0_seq1.1123.1623.plus.P31"	5.57	0.42	-3.46	0.000478	"yes"	"down"	"K02777"	"map00010"	"Alteromonas"	3.46	"K02777_Alteromonas"	"pts system"	"K02777"	"sugar PTS system EIIA component [EC:2.7.1.-]"	"-"	"K02777 _ -"
"comp33987_c0_seq1.1123.1623.plus.P31"	5.57	0.42	-3.46	0.000478	"yes"	"down"	"K02777"	"map00500"	"Alteromonas"	3.46	"K02777_Alteromonas"	"pts system"	"K02777"	"sugar PTS system EIIA component [EC:2.7.1.-]"	"-"	"K02777 _ -"
"comp50221_c0_seq1.123.1163.minus.P32"	13.89	2.19	-2.61	0.000489	"yes"	"down"	"K12957"	"map00010"	"Alteromonas"	2.61	"K12957_Alteromonas"	"alcohol dehydrogenase"	"K12957"	"alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]"	"-"	"K12957 _ -"
"comp33650_c0_seq1.12173.12919.plus.P31"	57.61	6.9	-3.04	0.00054	"yes"	"down"	"K01834"	"map00010"	"Alteromonas"	3.04	"K01834_Alteromonas"	"Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)"	"K01834"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"	"-"	"K01834 _ -"
"comp36848_c0_seq1.22.1314.plus.P31"	0.37	3.3	2.85	0.000572	"yes"	"up"	"K01689"	"map00010"	"Psychroserpens"	2.85	"K01689_Psychroserpens"	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"K01689"	"enolase [EC:4.2.1.11]"	"-"	"K01689 _ -"
"comp33173_c1_seq1.20372.21223.plus.P31"	11.11	1.04	-3.3	0.000729	"yes"	"down"	"K01792"	"map00010"	"Alteromonas"	3.3	"K01792_Alteromonas"	"Aldose 1epimerase"	"K01792"	"glucose-6-phosphate 1-epimerase [EC:5.1.3.15]"	"-"	"K01792 _ -"
"comp8977_c0_seq1.2094.3611.plus.P51"	557.37	134.46	-2.05	0.000911	"yes"	"down"	"K00138"	"map00010"	"Alteromonas"	2.05	"K00138_Alteromonas"	"Dehydrogenase"	"K00138"	"aldehyde dehydrogenase [EC:1.2.1.-]"	"-"	"K00138 _ -"
"comp33911_c0_seq1.174.1610.plus.P31"	27.79	4.35	-2.65	0.000997	"yes"	"down"	"K00873"	"map00010"	"Alteromonas"	2.65	"K00873_Alteromonas"	"Pyruvate kinase"	"K00873"	"pyruvate kinase [EC:2.7.1.40]"	"-"	"K00873 _ -"
"comp20976_c0_seq1.5314.6177.plus.P51"	41.36	7.18	-2.51	0.00112	"yes"	"down"	"K00845"	"map00010"	"Alteromonas"	2.51	"K00845_Alteromonas"	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp20976_c0_seq1.5314.6177.plus.P51"	41.36	7.18	-2.51	0.00112	"yes"	"down"	"K00845"	"map00500"	"Alteromonas"	2.51	"K00845_Alteromonas"	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp15589_c2_seq1.322.1038.plus.P52"	106.25	10.14	-3.38	0.00145	"yes"	"down"	"K01803"	"map00010"	"Alteromonas"	3.38	"K01803_Alteromonas"	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp15589_c2_seq1.322.1038.plus.P52"	106.25	10.14	-3.38	0.00145	"yes"	"down"	"K01803"	"map00051"	"Alteromonas"	3.38	"K01803_Alteromonas"	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp74804_c0_seq1.1.438.minus.P63"	0.1	3.32	4.11	0.00199	"no"	"up"	"K00382"	"map00010"	"Psychroserpens"	4.11	"K00382_Psychroserpens"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp74804_c0_seq1.1.438.minus.P63"	0.1	3.32	4.11	0.00199	"no"	"up"	"K00382"	"map00020"	"Psychroserpens"	4.11	"K00382_Psychroserpens"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp29274_c0_seq3.1.916.minus.P33"	0.14	1.56	2.77	0.00224	"no"	"up"	"K00163"	"map00010"	"Marinobacter"	2.77	"K00163_Marinobacter"	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)"	"K00163"	"pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	"aceE"	"K00163 _ aceE"
"comp29274_c0_seq3.1.916.minus.P33"	0.14	1.56	2.77	0.00224	"no"	"up"	"K00163"	"map00020"	"Marinobacter"	2.77	"K00163_Marinobacter"	"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2) (By similarity)"	"K00163"	"pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	"aceE"	"K00163 _ aceE"
"comp32664_c0_seq1.1.1924.minus.P41"	0.02	0.66	2.7	0.0023	"no"	"up"	"K01006"	"map00010"	"Hwanghaeella"	2.7	"K01006_Hwanghaeella"	"phosphotransferase activity, paired acceptors"	"K01006"	"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	"-"	"K01006 _ -"
"comp7047_c0_seq1.26.881.minus.P53"	1.6	6.19	1.89	0.00732	"no"	"up"	"K00114"	"map00010"	"Marinobacter"	1.89	"K00114_Marinobacter"	"Dehydrogenase"	"K00114"	"alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"	"exaA"	"K00114 _ exaA"
"comp14712_c0_seq1.50.1351.plus.P43"	0.09	1.14	2.69	0.0092	"no"	"up"	"K01689"	"map00010"	"Marinobacter"	2.69	"K01689_Marinobacter"	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"K01689"	"enolase [EC:4.2.1.11]"	"eno"	"K01689 _ eno"
"comp14823_c0_seq1.272.1738.minus.P11"	1.02	0.11	-2.42	0.0112	"no"	"down"	"K00174"	"map00010"	"Hwanghaeella"	2.42	"K00174_Hwanghaeella"	"Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)|oxidoreductase"	"K00174"	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"	"-"	"K00174 _ -"
"comp14823_c0_seq1.272.1738.minus.P11"	1.02	0.11	-2.42	0.0112	"no"	"down"	"K00174"	"map00020"	"Hwanghaeella"	2.42	"K00174_Hwanghaeella"	"Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)|oxidoreductase"	"K00174"	"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"	"-"	"K00174 _ -"
"comp15821_c0_seq1.1.786.minus.P62"	0.38	2	2.13	0.0127	"no"	"up"	"K00845"	"map00010"	"Maricaulis"	2.13	"K00845_Maricaulis"	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp15821_c0_seq1.1.786.minus.P62"	0.38	2	2.13	0.0127	"no"	"up"	"K00845"	"map00500"	"Maricaulis"	2.13	"K00845_Maricaulis"	"glucokinase (EC 2.7.1.2)"	"K00845"	"glucokinase [EC:2.7.1.2]"	"-"	"K00845 _ -"
"comp16877_c0_seq1.7.432.plus.P11"	6.65	19.68	1.55	0.0166	"no"	"up"	"K00138"	"map00010"	"Marinobacter"	1.55	"K00138_Marinobacter"	"Dehydrogenase"	"K00138"	"aldehyde dehydrogenase [EC:1.2.1.-]"	"-"	"K00138 _ -"
"comp33011_c11_seq1.2125.4071.plus.P31"	24.14	8.78	-1.45	0.0173	"no"	"down"	"K01895"	"map00010"	"Alteromonas"	1.45	"K01895_Alteromonas"	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp17610_c4_seq4.1.1229.minus.P11"	1.16	3.77	1.62	0.0289	"no"	"up"	"K00382"	"map00010"	"Marinobacter"	1.62	"K00382_Marinobacter"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp17610_c4_seq4.1.1229.minus.P11"	1.16	3.77	1.62	0.0289	"no"	"up"	"K00382"	"map00020"	"Marinobacter"	1.62	"K00382_Marinobacter"	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp102743_c0_seq1.1.482.minus.P33"	0.08	1.12	2.73	0.0294	"no"	"up"	"K00873"	"map00010"	"Hwanghaeella"	2.73	"K00873_Hwanghaeella"	"Pyruvate kinase"	"K00873"	"pyruvate kinase [EC:2.7.1.40]"	"ttuE"	"K00873 _ ttuE"
"comp82856_c0_seq1.1.849.minus.P43"	0.34	1.48	1.85	0.0321	"no"	"up"	"K00627"	"map00010"	"Marinobacter"	1.85	"K00627_Marinobacter"	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"-"	"K00627 _ -"
"comp82856_c0_seq1.1.849.minus.P43"	0.34	1.48	1.85	0.0321	"no"	"up"	"K00627"	"map00020"	"Marinobacter"	1.85	"K00627_Marinobacter"	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"-"	"K00627 _ -"
"comp18060_c0_seq2.1.892.minus.P61"	0.76	2.95	1.83	0.0329	"no"	"up"	"K21071"	"map00010"	"Marinobacter"	1.83	"K21071_Marinobacter"	"phosphohexokinase"	"K21071"	"ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"	"-"	"K21071 _ -"
"comp18060_c0_seq2.1.892.minus.P61"	0.76	2.95	1.83	0.0329	"no"	"up"	"K21071"	"map00030"	"Marinobacter"	1.83	"K21071_Marinobacter"	"phosphohexokinase"	"K21071"	"ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"	"-"	"K21071 _ -"
"comp18060_c0_seq2.1.892.minus.P61"	0.76	2.95	1.83	0.0329	"no"	"up"	"K21071"	"map00051"	"Marinobacter"	1.83	"K21071_Marinobacter"	"phosphohexokinase"	"K21071"	"ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"	"-"	"K21071 _ -"
"comp49288_c3_seq1.503.1945.minus.P32"	0.22	0.88	1.6	0.0355	"no"	"up"	"K00873"	"map00010"	"Psychroserpens"	1.6	"K00873_Psychroserpens"	"Pyruvate kinase"	"K00873"	"pyruvate kinase [EC:2.7.1.40]"	"pyk"	"K00873 _ pyk"
"comp33257_c0_seq1.1.685.minus.P31"	0.96	2.96	1.53	0.037	"no"	"up"	"K01624"	"map00010"	"Marinobacter"	1.53	"K01624_Marinobacter"	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp33257_c0_seq1.1.685.minus.P31"	0.96	2.96	1.53	0.037	"no"	"up"	"K01624"	"map00030"	"Marinobacter"	1.53	"K01624_Marinobacter"	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp33257_c0_seq1.1.685.minus.P31"	0.96	2.96	1.53	0.037	"no"	"up"	"K01624"	"map00051"	"Marinobacter"	1.53	"K01624_Marinobacter"	"Aldolase"	"K01624"	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	"-"	"K01624 _ -"
"comp17324_c0_seq1.401.1182.minus.P21"	0.74	2.3	1.51	0.0382	"no"	"up"	"K01803"	"map00010"	"Psychroserpens"	1.51	"K01803_Psychroserpens"	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp17324_c0_seq1.401.1182.minus.P21"	0.74	2.3	1.51	0.0382	"no"	"up"	"K01803"	"map00051"	"Psychroserpens"	1.51	"K01803_Psychroserpens"	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"-"	"K01803 _ -"
"comp17434_c0_seq2.738.1445.minus.P42"	0	0.63	2.86	0.0382	"no"	"up"	"K01895"	"map00010"	"Marinobacter"	2.86	"K01895_Marinobacter"	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp16866_c1_seq1.1.1429.minus.P63"	0	0.42	2.38	0.0385	"no"	"up"	"K01895"	"map00010"	"Oceaniradius"	2.38	"K01895_Oceaniradius"	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"-"	"K01895 _ -"
"comp20337_c0_seq1.448.1968.plus.P12"	7.61	16.86	1.14	0.0444	"no"	"up"	"K15778"	"map00010"	"Maricaulis"	1.14	"K15778_Maricaulis"	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K15778"	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	"-"	"K15778 _ -"
"comp20337_c0_seq1.448.1968.plus.P12"	7.61	16.86	1.14	0.0444	"no"	"up"	"K15778"	"map00030"	"Maricaulis"	1.14	"K15778_Maricaulis"	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K15778"	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	"-"	"K15778 _ -"
"comp20337_c0_seq1.448.1968.plus.P12"	7.61	16.86	1.14	0.0444	"no"	"up"	"K15778"	"map00051"	"Maricaulis"	1.14	"K15778_Maricaulis"	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K15778"	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	"-"	"K15778 _ -"
"comp20337_c0_seq1.448.1968.plus.P12"	7.61	16.86	1.14	0.0444	"no"	"up"	"K15778"	"map00500"	"Maricaulis"	1.14	"K15778_Maricaulis"	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K15778"	"phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]"	"-"	"K15778 _ -"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	3.25	1.6	0.0495	"no"	"up"	"K00850"	"map00010"	"Psychroserpens"	1.6	"K00850_Psychroserpens"	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	3.25	1.6	0.0495	"no"	"up"	"K00850"	"map00030"	"Psychroserpens"	1.6	"K00850_Psychroserpens"	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	3.25	1.6	0.0495	"no"	"up"	"K00850"	"map00051"	"Psychroserpens"	1.6	"K00850_Psychroserpens"	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
"comp33113_c0_seq1.6317.7270.plus.P31"	3.26	0.04	-4.63	1.87e-06	"yes"	"down"	"K00616"	"map00030"	"Alteromonas"	4.63	"K00616_Alteromonas"	"Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)"	"K00616"	"transaldolase [EC:2.2.1.2]"	"-"	"K00616 _ -"
"comp24534_c0_seq1.58.576.plus.P32"	17.81	0.78	-4.35	2.42e-06	"yes"	"down"	"K00851"	"map00030"	"Alteromonas"	4.35	"K00851_Alteromonas"	"carbohydrate kinase, thermoresistant glucokinase family"	"K00851"	"gluconokinase [EC:2.7.1.12]"	"-"	"K00851 _ -"
"comp30422_c0_seq1.5259.5921.plus.P33"	30.89	2.6	-3.52	1.29e-05	"yes"	"down"	"K01807"	"map00030"	"Alteromonas"	3.52	"K01807_Alteromonas"	"phosphoriboisomerase A"	"K01807"	"ribose 5-phosphate isomerase A [EC:5.3.1.6]"	"-"	"K01807 _ -"
