"seq_id"	"P5_mean_fpkm"	"P3_mean_fpkm"	"logFC.P3.P5."	"p.value"	"significant"	"regulate"	"KO.x"	"Pathway"	"g"	"KO_g"	"abslogfc"	"Description"	"KO.y"	"Definition"	"gene_name"	"KO_gene"
"comp12222_c0_seq1.1943.2404.plus.P13"	1704.42	131.43	-3.7	0.000161	"yes"	"down"	"K02109"	"map00195"	"Prochlorococcus"	"K02109_Prochlorococcus"	3.7	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"	"K02109"	"F-type H+-transporting ATPase subunit b"	"-"	"K02109 _ -"
"comp9005_c0_seq1.6895.7986.plus.P51"	1909.02	170.06	-3.49	0.000171	"yes"	"down"	"K02641"	"map00195"	"Prochlorococcus"	"K02641_Prochlorococcus"	3.49	"Component of the sulfite reductase complex that catalyzes the 6-electron reduction of sulfite to sulfide. This is one of several activities required for the biosynthesis of L- cysteine from sulfate. The flavoprotein component catalyzes the electron flow from NADPH - FAD - FMN to the hemoprotein component (By similarity)"	"K02641"	"ferredoxin--NADP+ reductase [EC:1.18.1.2]"	"petH"	"K02641 _ petH"
"comp12222_c0_seq1.5074.6024.plus.P13"	1584.89	133.99	-3.56	0.000172	"yes"	"down"	"K02115"	"map00195"	"Prochlorococcus"	"K02115_Prochlorococcus"	3.56	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)"	"K02115"	"F-type H+-transporting ATPase subunit gamma"	"-"	"K02115 _ -"
"comp12222_c0_seq1.671.1396.plus.P13"	1757.06	148.61	-3.56	0.000315	"yes"	"down"	"K02108"	"map00195"	"Prochlorococcus"	"K02108_Prochlorococcus"	3.56	"it plays a direct role in the translocation of protons across the membrane (By similarity)"	"K02108"	"F-type H+-transporting ATPase subunit a"	"atpB"	"K02108 _ atpB"
"comp12222_c0_seq1.2985.3461.plus.P13"	497.98	47.98	-3.37	0.00043	"yes"	"down"	"K02113"	"map00195"	"Prochlorococcus"	"K02113_Prochlorococcus"	3.37	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"	"K02113"	"F-type H+-transporting ATPase subunit delta"	"-"	"K02113 _ -"
"comp14295_c7_seq1.1766.2053.plus.P13"	217.47	20.7	-3.39	0.000502	"yes"	"down"	"K08906"	"map00195"	"Prochlorococcus"	"K08906_Prochlorococcus"	3.39	"cytochrome c"	"K08906"	"cytochrome c6"	"-"	"K08906 _ -"
"comp14336_c0_seq1.79.273.plus.P11"	0	9.35	6.56	0.00151	"no"	"up"	"K02110"	"map00195"	"Psychroserpens"	"K02110_Psychroserpens"	6.56	"ATP synthase subunit C"	"K02110"	"F-type H+-transporting ATPase subunit c"	"-"	"K02110 _ -"
"comp30393_c0_seq1.33.1565.minus.P33"	0.26	4.61	3.7	0.00256	"no"	"up"	"K02111"	"map00195"	"Oceaniradius"	"K02111_Oceaniradius"	3.7	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)"	"K02111"	"F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"	"-"	"K02111 _ -"
"comp22153_c0_seq2.17.1123.plus.P21"	1.62	15.62	3.2	0.00671	"no"	"up"	"K02108"	"map00195"	"Psychroserpens"	"K02108_Psychroserpens"	3.2	"it plays a direct role in the translocation of protons across the membrane (By similarity)"	"K02108"	"F-type H+-transporting ATPase subunit a"	"-"	"K02108 _ -"
"comp20887_c0_seq2.325.1833.minus.P71"	2.26	24.7	3.39	0.00704	"no"	"up"	"K02112"	"map00195"	"Psychroserpens"	"K02112_Psychroserpens"	3.39	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)"	"K02112"	"F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"	"-"	"K02112 _ -"
"comp129889_c0_seq1.24.521.plus.P11"	3.31	33.08	3.28	0.00811	"no"	"up"	"K02109"	"map00195"	"Psychroserpens"	"K02109_Psychroserpens"	3.28	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"	"K02109"	"F-type H+-transporting ATPase subunit b"	"-"	"K02109 _ -"
"comp21345_c4_seq7.242.1774.minus.P23"	2.94	0.21	-3.31	0.00833	"no"	"down"	"K02111"	"map00195"	"Maricaulis"	"K02111_Maricaulis"	3.31	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)"	"K02111"	"F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"	"-"	"K02111 _ -"
"comp16552_c0_seq2.1.393.minus.P43"	1.42	9.89	2.72	0.0133	"no"	"up"	"K02115"	"map00195"	"Psychroserpens"	"K02115_Psychroserpens"	2.72	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)"	"K02115"	"F-type H+-transporting ATPase subunit gamma"	"-"	"K02115 _ -"
"comp22153_c0_seq2.2533.4113.plus.P21"	1.99	11.37	2.46	0.0156	"no"	"up"	"K02111"	"map00195"	"Psychroserpens"	"K02111_Psychroserpens"	2.46	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)"	"K02111"	"F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"	"-"	"K02111 _ -"
"comp22054_c1_seq13.6131.7570.plus.P71"	16.19	3.6	-2.14	0.0222	"no"	"down"	"K02112"	"map00195"	"Maricaulis"	"K02112_Maricaulis"	2.14	"Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)"	"K02112"	"F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"	"-"	"K02112 _ -"
"comp17591_c18_seq1.444.2420.plus.P11"	1255.24	32.59	-5.26	2.99e-07	"yes"	"down"	"K01895"	"map00010"	"Prochlorococcus"	"K01895_Prochlorococcus"	5.26	"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)"	"K01895"	"acetyl-CoA synthetase [EC:6.2.1.1]"	"acs"	"K01895 _ acs"
"comp20228_c4_seq1.5470.6474.plus.P12"	2841.1	84.21	-5.07	6.2e-07	"yes"	"down"	"K11532"	"map00010"	"Prochlorococcus"	"K11532_Prochlorococcus"	5.07	"Fructose-1,6-bisphosphatase"	"K11532"	"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	"glpX"	"K11532 _ glpX"
"comp20228_c4_seq1.5470.6474.plus.P12"	2841.1	84.21	-5.07	6.2e-07	"yes"	"down"	"K11532"	"map00030"	"Prochlorococcus"	"K11532_Prochlorococcus"	5.07	"Fructose-1,6-bisphosphatase"	"K11532"	"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	"glpX"	"K11532 _ glpX"
"comp20228_c4_seq1.5470.6474.plus.P12"	2841.1	84.21	-5.07	6.2e-07	"yes"	"down"	"K11532"	"map00051"	"Prochlorococcus"	"K11532_Prochlorococcus"	5.07	"Fructose-1,6-bisphosphatase"	"K11532"	"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	"glpX"	"K11532 _ glpX"
"comp17532_c1_seq1.379.2007.plus.P11"	977.51	33.01	-4.88	1.08e-06	"yes"	"down"	"K15633"	"map00010"	"Prochlorococcus"	"K15633_Prochlorococcus"	4.88	"Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)"	"K15633"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	"gpmI"	"K15633 _ gpmI"
"comp16014_c0_seq1.99.1697.plus.P11"	368.87	15.21	-4.59	2.64e-06	"yes"	"down"	"K01810"	"map00010"	"Prochlorococcus"	"K01810_Prochlorococcus"	4.59	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp16014_c0_seq1.99.1697.plus.P11"	368.87	15.21	-4.59	2.64e-06	"yes"	"down"	"K01810"	"map00030"	"Prochlorococcus"	"K01810_Prochlorococcus"	4.59	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp16014_c0_seq1.99.1697.plus.P11"	368.87	15.21	-4.59	2.64e-06	"yes"	"down"	"K01810"	"map00500"	"Prochlorococcus"	"K01810_Prochlorococcus"	4.59	"glucose-6-phosphate isomerase activity"	"K01810"	"glucose-6-phosphate isomerase [EC:5.3.1.9]"	"pgi"	"K01810 _ pgi"
"comp16019_c0_seq1.8493.9698.plus.P11"	816.58	36.37	-4.48	5.58e-06	"yes"	"down"	"K00927"	"map00010"	"Prochlorococcus"	"K00927_Prochlorococcus"	4.48	"phosphoglycerate kinase"	"K00927"	"phosphoglycerate kinase [EC:2.7.2.3]"	"pgk"	"K00927 _ pgk"
"comp30303_c0_seq1.1.1600.minus.P33"	0.03	4.06	4.99	7.59e-06	"yes"	"up"	"K01610"	"map00010"	"Psychroserpens"	"K01610_Psychroserpens"	4.99	"Phosphoenolpyruvate Carboxylase"	"K01610"	"phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"	"-"	"K01610 _ -"
"comp19841_c0_seq1.3385.4125.plus.P23"	459.1	23.77	-4.27	1.23e-05	"yes"	"down"	"K01803"	"map00010"	"Prochlorococcus"	"K01803_Prochlorococcus"	4.27	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"tpi"	"K01803 _ tpi"
"comp19841_c0_seq1.3385.4125.plus.P23"	459.1	23.77	-4.27	1.23e-05	"yes"	"down"	"K01803"	"map00051"	"Prochlorococcus"	"K01803_Prochlorococcus"	4.27	"triosephosphate isomerase"	"K01803"	"triosephosphate isomerase (TIM) [EC:5.3.1.1]"	"tpi"	"K01803 _ tpi"
"comp17125_c0_seq1.7940.8962.plus.P11"	1108.5	58.66	-4.24	1.63e-05	"yes"	"down"	"K00150"	"map00010"	"Prochlorococcus"	"K00150_Prochlorococcus"	4.24	"glyceraldehyde3phosphate dehydrogenase"	"K00150"	"glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]"	"gap2"	"K00150 _ gap2"
"comp36848_c0_seq1.22.1314.plus.P31"	0.37	12.12	4.69	1.64e-05	"yes"	"up"	"K01689"	"map00010"	"Psychroserpens"	"K01689_Psychroserpens"	4.69	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"K01689"	"enolase [EC:4.2.1.11]"	"-"	"K01689 _ -"
"comp20623_c35_seq1.5348.6436.plus.P12"	2375.73	139.71	-4.09	2.01e-05	"yes"	"down"	"K00161"	"map00010"	"Prochlorococcus"	"K00161_Prochlorococcus"	4.09	"Dehydrogenase"	"K00161"	"pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"	"acoA"	"K00161 _ acoA"
"comp17608_c28_seq1.207.1649.plus.P11"	546.16	32.94	-4.05	2.17e-05	"yes"	"down"	"K00382"	"map00010"	"Prochlorococcus"	"K00382_Prochlorococcus"	4.05	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"lpd"	"K00382 _ lpd"
"comp20651_c42_seq1.810.2180.plus.P12"	813.54	50.94	-3.99	3.87e-05	"yes"	"down"	"K00627"	"map00010"	"Prochlorococcus"	"K00627_Prochlorococcus"	3.99	"Dehydrogenase"	"K00627"	"pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	"pdhC"	"K00627 _ pdhC"
"comp17648_c0_seq1.16384.17451.plus.P11"	2546.64	166.48	-3.93	6.59e-05	"yes"	"down"	"K01623"	"map00010"	"Prochlorococcus"	"K01623_Prochlorococcus"	3.93	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp17648_c0_seq1.16384.17451.plus.P11"	2546.64	166.48	-3.93	6.59e-05	"yes"	"down"	"K01623"	"map00030"	"Prochlorococcus"	"K01623_Prochlorococcus"	3.93	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp17648_c0_seq1.16384.17451.plus.P11"	2546.64	166.48	-3.93	6.59e-05	"yes"	"down"	"K01623"	"map00051"	"Prochlorococcus"	"K01623_Prochlorococcus"	3.93	"fructose-bisphosphate aldolase"	"K01623"	"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	"-"	"K01623 _ -"
"comp14369_c0_seq1.9393.10694.plus.P13"	572.33	44.83	-3.67	8.17e-05	"yes"	"down"	"K01689"	"map00010"	"Prochlorococcus"	"K01689_Prochlorococcus"	3.67	"Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"	"K01689"	"enolase [EC:4.2.1.11]"	"eno"	"K01689 _ eno"
"comp13430_c1_seq1.1.472.minus.P23"	0	4.03	5.37	0.000124	"yes"	"up"	"K00134"	"map00010"	"Psychroserpens"	"K00134_Psychroserpens"	5.37	"glyceraldehyde3phosphate dehydrogenase"	"K00134"	"glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"	"gap"	"K00134 _ gap"
"comp13469_c2_seq1.17303.18292.plus.P13"	294.87	25.89	-3.5	0.000189	"yes"	"down"	"K00162"	"map00010"	"Prochlorococcus"	"K00162_Prochlorococcus"	3.5	"Dehydrogenase, E1 component"	"K00162"	"pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"	"pdhB"	"K00162 _ pdhB"
"comp49288_c3_seq1.503.1945.minus.P32"	0.22	4.15	3.72	0.000426	"yes"	"up"	"K00873"	"map00010"	"Psychroserpens"	"K00873_Psychroserpens"	3.72	"Pyruvate kinase"	"K00873"	"pyruvate kinase [EC:2.7.1.40]"	"pyk"	"K00873 _ pyk"
"comp28480_c0_seq1.464.2191.minus.P33"	0.24	4.05	3.63	0.000452	"yes"	"up"	"K01835"	"map00010"	"Psychroserpens"	"K01835_Psychroserpens"	3.63	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp28480_c0_seq1.464.2191.minus.P33"	0.24	4.05	3.63	0.000452	"yes"	"up"	"K01835"	"map00030"	"Psychroserpens"	"K01835_Psychroserpens"	3.63	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp28480_c0_seq1.464.2191.minus.P33"	0.24	4.05	3.63	0.000452	"yes"	"up"	"K01835"	"map00500"	"Psychroserpens"	"K01835_Psychroserpens"	3.63	"Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)"	"K01835"	"phosphoglucomutase [EC:5.4.2.2]"	"-"	"K01835 _ -"
"comp45670_c0_seq1.160.1229.minus.P33"	0.13	4.44	4.31	0.000526	"yes"	"up"	"K13979"	"map00010"	"Psychroserpens"	"K13979_Psychroserpens"	4.31	"alcohol dehydrogenase"	"K13979"	"alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"	"-"	"K13979 _ -"
"comp8762_c0_seq1.18.1394.plus.P71"	0.62	9.98	3.81	0.000541	"yes"	"up"	"K00382"	"map00010"	"Psychroserpens"	"K00382_Psychroserpens"	3.81	"dihydrolipoyl dehydrogenase"	"K00382"	"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	"-"	"K00382 _ -"
"comp37196_c0_seq1.12.998.plus.P31"	1.01	13.22	3.59	0.000989	"yes"	"up"	"K00850"	"map00010"	"Psychroserpens"	"K00850_Psychroserpens"	3.59	"phosphohexokinase"	"K00850"	"6-phosphofructokinase 1 [EC:2.7.1.11]"	"-"	"K00850 _ -"
