seq_id	P5_mean_fpkm	P3_mean_fpkm	logFC.P3.P5.	p.value	significant	regulate	KO	Pathway	g	KO_g
comp16552_c0_seq2.1.393.minus.P43	1.42	9.89	2.72	0.0133	no	up	K02115	"map00190,map00195,map01100"	Psychroserpens	K02115_Psychroserpens
comp16544_c0_seq1.71.593.minus.P53	1.56	0.09	-3.11	0.0154	no	down	K02115	"map00190,map00195,map01100"	Thalassospira	K02115_Thalassospira
comp22153_c0_seq2.2533.4113.plus.P21	1.99	11.37	2.46	0.0156	no	up	K02111	"map00190,map00195,map01100"	Psychroserpens	K02111_Psychroserpens
comp22054_c1_seq13.6131.7570.plus.P71	16.19	3.6	-2.14	0.0222	no	down	K02112	"map00190,map00195,map01100"	Maricaulis	K02112_Maricaulis
comp22269_c0_seq1.76.322.minus.P33	5.09	0.39	-3.39	0.0272	no	down	K02114	"map00190,map00195,map01100"	Altererythrobacter	K02114_Altererythrobacter
comp72189_c0_seq1.1.637.minus.P42	4.61	0.74	-2.48	0.0342	no	down	K02111	"map00190,map00195,map01100"	Altererythrobacter	K02111_Altererythrobacter
comp17591_c18_seq1.444.2420.plus.P11	1255.24	32.59	-5.26	2.99E-07	yes	down	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Prochlorococcus	K01895_Prochlorococcus
comp20228_c4_seq1.5470.6474.plus.P12	2841.1	84.21	-5.07	6.20E-07	yes	down	K11532	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200"	Prochlorococcus	K11532_Prochlorococcus
comp17532_c1_seq1.379.2007.plus.P11	977.51	33.01	-4.88	1.08E-06	yes	down	K15633	"map00010,map00260,map00680,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K15633_Prochlorococcus
comp16014_c0_seq1.99.1697.plus.P11	368.87	15.21	-4.59	2.64E-06	yes	down	K01810	"map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01200,map01250"	Prochlorococcus	K01810_Prochlorococcus
comp16019_c0_seq1.8493.9698.plus.P11	816.58	36.37	-4.48	5.58E-06	yes	down	K00927	"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066"	Prochlorococcus	K00927_Prochlorococcus
comp30303_c0_seq1.1.1600.minus.P33	0.03	4.06	4.99	7.59E-06	yes	up	K01610	"map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01200"	Psychroserpens	K01610_Psychroserpens
comp19841_c0_seq1.3385.4125.plus.P23	459.1	23.77	-4.27	1.23E-05	yes	down	K01803	"map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K01803_Prochlorococcus
comp17125_c0_seq1.7940.8962.plus.P11	1108.5	58.66	-4.24	1.63E-05	yes	down	K00150	"map00010,map00710,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K00150_Prochlorococcus
comp36848_c0_seq1.22.1314.plus.P31	0.37	12.12	4.69	1.64E-05	yes	up	K01689	"map00010,map00680,map01100,map01110,map01120,map01200,map01230,map03018,map04066"	Psychroserpens	K01689_Psychroserpens
comp20623_c35_seq1.5348.6436.plus.P12	2375.73	139.71	-4.09	2.01E-05	yes	down	K00161	"map00010,map00020,map00620,map01100,map01110,map01120,map01200,map04066,map04922,map05230,map05415"	Prochlorococcus	K00161_Prochlorococcus
comp17608_c28_seq1.207.1649.plus.P11	546.16	32.94	-4.05	2.17E-05	yes	down	K00382	"map00010,map00020,map00260,map00280,map00310,map00380,map00620,map00630,map00640,map01100,map01110,map01120,map01200,map01240"	Prochlorococcus	K00382_Prochlorococcus
comp20651_c42_seq1.810.2180.plus.P12	813.54	50.94	-3.99	3.87E-05	yes	down	K00627	"map00010,map00020,map00620,map01100,map01110,map01120,map01200"	Prochlorococcus	K00627_Prochlorococcus
comp17648_c0_seq1.16384.17451.plus.P11	2546.64	166.48	-3.93	6.59E-05	yes	down	K01623	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230,map04066"	Prochlorococcus	K01623_Prochlorococcus
comp14369_c0_seq1.9393.10694.plus.P13	572.33	44.83	-3.67	8.17E-05	yes	down	K01689	"map00010,map00680,map01100,map01110,map01120,map01200,map01230,map03018,map04066"	Prochlorococcus	K01689_Prochlorococcus
comp13430_c1_seq1.1.472.minus.P23	0	4.03	5.37	0.000124	yes	up	K00134	"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415"	Psychroserpens	K00134_Psychroserpens
comp13469_c2_seq1.17303.18292.plus.P13	294.87	25.89	-3.5	0.000189	yes	down	K00162	"map00010,map00020,map00620,map01100,map01110,map01120,map01200,map04066,map04922,map05230,map05415"	Prochlorococcus	K00162_Prochlorococcus
comp49288_c3_seq1.503.1945.minus.P32	0.22	4.15	3.72	0.000426	yes	up	K00873	"map00010,map00620,map01100,map01110,map01120,map01200,map01230,map04922,map04930,map05165,map05203,map05230"	Psychroserpens	K00873_Psychroserpens
comp28480_c0_seq1.464.2191.minus.P33	0.24	4.05	3.63	0.000452	yes	up	K01835	"map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01250"	Psychroserpens	K01835_Psychroserpens
comp45670_c0_seq1.160.1229.minus.P33	0.13	4.44	4.31	0.000526	yes	up	K13979	"map00010,map00561,map00620,map01100,map01110,map01120"	Psychroserpens	K13979_Psychroserpens
comp8762_c0_seq1.18.1394.plus.P71	0.62	9.98	3.81	0.000541	yes	up	K00382	"map00010,map00020,map00260,map00280,map00310,map00380,map00620,map00630,map00640,map01100,map01110,map01120,map01200,map01240"	Psychroserpens	K00382_Psychroserpens
comp37196_c0_seq1.12.998.plus.P31	1.01	13.22	3.59	0.000989	yes	up	K00850	"map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01200,map01230,map03018,map04066,map04152,map04919,map04922,map05230"	Psychroserpens	K00850_Psychroserpens
comp63403_c0_seq1.891.1959.minus.P61	0.2	5.48	4.2	0.00101	yes	up	K01624	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K01624_Psychroserpens
comp18703_c1_seq1.17.1336.plus.P61	1.62	0.1	-3.1	0.00106	yes	down	K01006	"map00010,map00620,map00710,map00720,map01100,map01110,map01120,map01200"	Hwanghaeella	K01006_Hwanghaeella
comp25138_c1_seq1.1339.2874.minus.P33	0.17	2.88	3.48	0.0011	yes	up	K15633	"map00010,map00260,map00680,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K15633_Psychroserpens
comp50070_c10_seq4.12838.14559.plus.P32	0.29	4.85	3.68	0.00166	no	up	K01007	"map00010,map00620,map00680,map00720,map01100,map01110,map01120,map01200"	Oceaniradius	K01007_Oceaniradius
comp5862_c0_seq1.168.1174.minus.P63	0.87	13.26	3.79	0.00171	no	up	K00161	"map00010,map00020,map00620,map01100,map01110,map01120,map01200,map04066,map04922,map05230,map05415"	Psychroserpens	K00161_Psychroserpens
comp14295_c0_seq1.5082.6125.plus.P13	143.61	19.24	-2.89	0.00205	no	down	K00845	"map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01200,map01250"	Prochlorococcus	K00845_Prochlorococcus
comp17591_c111_seq1.14.1393.plus.P11	223.01	32.14	-2.79	0.00291	no	down	K00128	"map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00770,map00903,map00981,map01100,map01110,map01120,map01240,map04936"	Prochlorococcus	K00128_Prochlorococcus
comp33011_c11_seq1.2125.4071.plus.P31	24.14	274.59	3.5	0.00357	no	up	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Alteromonas	K01895_Alteromonas
comp86187_c0_seq1.271.973.minus.P33	0	1.18	3.67	0.00436	no	up	K00128	"map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00770,map00903,map00981,map01100,map01110,map01120,map01240,map04936"	Psychroserpens	K00128_Psychroserpens
comp22447_c0_seq1.22659.24308.plus.P21	141.84	22.23	-2.67	0.00506	no	down	K01835	"map00010,map00030,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01250"	Prochlorococcus	K01835_Prochlorococcus
comp10598_c0_seq1.1655.2728.minus.P21	0.16	3.03	3.59	0.00535	no	up	K01624	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K01624_Prochlorococcus
comp8716_c1_seq1.375.859.minus.P12	3.79	0.29	-3.3	0.00697	no	down	K20866	"map00010,map01120"	Hwanghaeella	K20866_Hwanghaeella
comp19905_c0_seq1.1.710.minus.P61	2.06	0.17	-3	0.00976	no	down	K00134	"map00010,map00710,map01100,map01110,map01120,map01200,map01230,map04066,map05010,map05130,map05132,map05415"	Thalassospira	K00134_Thalassospira
comp13533_c0_seq1.474.1501.minus.P33	0.24	2.25	2.8	0.0111	no	up	K03841	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map04152,map04910,map04922"	Psychroserpens	K03841_Psychroserpens
comp17324_c0_seq1.401.1182.minus.P21	0.74	5.13	2.63	0.0121	no	up	K01803	"map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K01803_Psychroserpens
comp8977_c0_seq1.2094.3611.plus.P51	557.37	3846.66	2.79	0.0126	no	up	K00138	"map00010,map00620,map01100,map01110,map01120"	Alteromonas	K00138_Alteromonas
comp8494_c0_seq1.1010.2638.plus.P23	1.14	9.07	2.89	0.013	no	up	K00627	"map00010,map00020,map00620,map01100,map01110,map01120,map01200"	Psychroserpens	K00627_Psychroserpens
comp22135_c1_seq1.24.1673.plus.P21	0.18	2.05	2.94	0.0142	no	up	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Marinobacter	K01895_Marinobacter
comp13914_c17_seq1.4.468.plus.P72	36.3	6.22	-2.53	0.0166	no	down	K01792	"map00010,map01100,map01110,map01120"	Prochlorococcus	K01792_Prochlorococcus
comp13485_c0_seq1.1.689.minus.P53	2.39	0.33	-2.53	0.0182	no	down	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Hwanghaeella	K01895_Hwanghaeella
comp15410_c1_seq4.1511.3537.minus.P41	15.55	119.09	2.93	0.0192	no	up	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Oceaniradius	K01895_Oceaniradius
comp15821_c0_seq1.1.786.minus.P62	0.38	3.23	2.8	0.0223	no	up	K00845	"map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01200,map01250"	Maricaulis	K00845_Maricaulis
comp33593_c0_seq1.15095.16909.plus.P31	62.66	402.73	2.68	0.023	no	up	K00114	"map00010,map00620,map00625,map01100,map01110,map01120"	Alteromonas	K00114_Alteromonas
comp48103_c0_seq1.601.1236.plus.P32	0.12	1.68	3.02	0.0243	no	up	K20866	"map00010,map01120"	Psychroserpens	K20866_Psychroserpens
comp7047_c0_seq1.26.881.minus.P53	1.6	9.97	2.56	0.0284	no	up	K00114	"map00010,map00620,map00625,map01100,map01110,map01120"	Marinobacter	K00114_Marinobacter
comp39571_c0_seq1.1.1146.minus.P61	5.19	1.34	-1.88	0.0305	no	down	K00128	"map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00770,map00903,map00981,map01100,map01110,map01120,map01240,map04936"	Hwanghaeella	K00128_Hwanghaeella
comp28162_c0_seq1.1.459.minus.P33	0	1.8	4.25	0.0309	no	up	K01623	"map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01200,map01230,map04066"	Marinobacter	K01623_Marinobacter
comp14823_c0_seq1.272.1738.minus.P11	1.02	0.11	-2.41	0.0317	no	down	K00174	"map00010,map00020,map00620,map00650,map00720,map01100,map01110,map01120,map01200"	Hwanghaeella	K00174_Hwanghaeella
comp49973_c0_seq1.1.1460.minus.P32	0.33	1.8	2.16	0.0391	no	up	K01810	"map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01200,map01250"	Psychroserpens	K01810_Psychroserpens
comp64930_c0_seq1.82.1989.minus.P33	0.24	1.46	2.18	0.0467	no	up	K01895	"map00010,map00620,map00630,map00640,map00680,map00720,map01100,map01110,map01120,map01200"	Psychroserpens	K01895_Psychroserpens
comp16211_c1_seq1.24328.24993.plus.P22	0	152.92	10.58	6.47E-13	yes	up	K00616	"map00030,map01100,map01110,map01120,map01200,map01230"	Tangaroavirus	K00616_Tangaroavirus
comp7472_c2_seq1.13177.14175.plus.P11	6233.44	232.37	-4.74	1.93E-06	yes	down	K00616	"map00030,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K00616_Prochlorococcus
comp16046_c0_seq1.9879.10631.plus.P11	1101.83	49.23	-4.48	7.76E-06	yes	down	K01783	"map00030,map00040,map00710,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K01783_Prochlorococcus
comp19986_c3_seq1.1189.2184.minus.P23	415	26.09	-3.99	2.96E-05	yes	down	K00948	"map00030,map00230,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K00948_Prochlorococcus
comp17006_c3_seq1.292.1134.minus.P11	237.6	14.62	-4.01	4.00E-05	yes	down	K00852	"map00030,map01100"	Prochlorococcus	K00852_Prochlorococcus
comp17448_c8_seq1.1690.3651.plus.P11	1624.54	108.13	-3.91	4.59E-05	yes	down	K00615	"map00030,map00710,map01051,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K00615_Prochlorococcus
comp49652_c0_seq2.20189.20899.plus.P32	715.65	50.77	-3.81	5.60E-05	yes	down	K01807	"map00030,map00710,map01100,map01110,map01120,map01200,map01230"	Prochlorococcus	K01807_Prochlorococcus
comp12483_c3_seq1.1112.2635.plus.P13	263.42	29.34	-3.16	0.00049	yes	down	K00036	"map00030,map00480,map01100,map01110,map01120,map01200,map05230,map05415"	Prochlorococcus	K00036_Prochlorococcus
comp17591_c62_seq1.1291.1974.plus.P11	79.66	8.75	-3.17	0.000565	yes	down	K01619	"map00030,map01100"	Prochlorococcus	K01619_Prochlorococcus
comp30818_c0_seq1.1.487.minus.P31	0	2.57	4.74	0.000802	yes	up	K01619	"map00030,map01100"	Psychroserpens	K01619_Psychroserpens
comp20228_c4_seq1.9391.10809.plus.P12	200	25.53	-2.97	0.00124	yes	down	K00033	"map00030,map00480,map01100,map01110,map01120,map01200"	Prochlorococcus	K00033_Prochlorococcus
comp19312_c1_seq1.12.965.minus.P23	0.11	2.66	3.71	0.002	no	up	K00615	"map00030,map00710,map01051,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K00615_Psychroserpens
comp20228_c4_seq1.10815.11531.plus.P12	78.72	11.42	-2.77	0.00204	no	down	K01057	"map00030,map01100,map01110,map01120,map01200"	Prochlorococcus	K01057_Prochlorococcus
comp56030_c0_seq1.155.599.minus.P33	0	2.77	4.84	0.00225	no	up	K01808	"map00030,map00051,map00710,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K01808_Psychroserpens
comp6786_c0_seq1.148.723.plus.P11	0.41	9.7	4.26	0.00254	no	up	K00851	"map00030,map01100,map01110,map01120,map01200"	Oceaniradius	K00851_Oceaniradius
comp18141_c0_seq1.39.980.plus.P21	1.56	12.56	2.93	0.00654	no	up	K00948	"map00030,map00230,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K00948_Psychroserpens
comp82383_c0_seq1.689.1291.plus.P12	0.76	7.69	3.18	0.0116	no	up	K01625	"map00030,map00630,map01100,map01120,map01200"	Oceaniradius	K01625_Oceaniradius
comp31581_c0_seq1.896.2740.minus.P31	0.92	5.39	2.42	0.0154	no	up	K01690	"map00030,map01100,map01120,map01200"	Maricaulis	K01690_Maricaulis
comp8151_c0_seq1.490.1150.minus.P72	1.48	11.66	2.9	0.0206	no	up	K00616	"map00030,map01100,map01110,map01120,map01200,map01230"	Psychroserpens	K00616_Psychroserpens
comp207557_c0_seq1.1.609.minus.P23	0.13	1.86	3.12	0.0266	no	up	K00852	"map00030,map01100"	Maricaulis	K00852_Maricaulis
comp14158_c1_seq1.68.1039.plus.P13	2.02	9.96	2.25	0.0434	no	up	K00874	"map00030,map01100,map01120,map01200"	Oceaniradius	K00874_Oceaniradius
comp38305_c0_seq1.77.1217.minus.P31	254.35	19.63	-3.69	0.000122	yes	down	K01711	"map00051,map00520,map00541,map01100,map01250"	Prochlorococcus	K01711_Prochlorococcus
comp17141_c0_seq1.12618.13796.plus.P11	856.03	73.16	-3.55	0.000135	yes	down	K00966	"map00051,map00520,map01100,map01110,map01240,map01250"	Prochlorococcus	K00966_Prochlorococcus
comp30613_c0_seq1.1293.2309.plus.P31	160.23	12.34	-3.69	0.000159	yes	down	K00847	"map00051,map00500,map00520,map01100,map01110,map01250"	Prochlorococcus	K00847_Prochlorococcus
comp31785_c0_seq1.696.1778.minus.P31	0.06	2.7	4.11	0.000332	yes	up	K00971	"map00051,map00520,map00541,map01100,map01110,map01250"	Psychroserpens	K00971_Psychroserpens
comp8385_c0_seq1.1.559.minus.P63	2.36	0	-4.62	0.00134	no	down	K02377	"map00051,map00520,map00541,map01100,map01250"	Hwanghaeella	K02377_Hwanghaeella
comp20708_c1_seq1.3876.4676.plus.P12	48.44	6.35	-2.91	0.00147	no	down	K07026	"map00051,map01100"	Prochlorococcus	K07026_Prochlorococcus
comp42125_c0_seq1.1885.3273.minus.P71	0.16	1.77	2.84	0.00492	no	up	K01840	"map00051,map00520,map00541,map01100,map01110,map01250"	Psychroserpens	K01840_Psychroserpens
comp29012_c0_seq1.1079.1897.plus.P33	0.17	1.53	2.58	0.0307	no	up	K01809	"map00051,map00520,map00541,map01100,map01110,map01240,map01250"	Psychroserpens	K01809_Psychroserpens
comp131982_c0_seq1.19.678.plus.P12	2.76	0.55	-2.14	0.0448	no	down	K01840	"map00051,map00520,map00541,map01100,map01110,map01250"	Hwanghaeella	K01840_Hwanghaeella
comp21230_c0_seq1.21185.22174.plus.P21	220.31	11.32	-4.27	1.10E-05	yes	down	K23094	"map00130,map01100,map01110,map01240"	Prochlorococcus	K23094_Prochlorococcus
comp28683_c0_seq1.7.705.plus.P31	151.46	9.52	-3.98	3.98E-05	yes	down	K23095	"map00130,map01100,map01110,map01240"	Prochlorococcus	K23095_Prochlorococcus
comp22724_c16_seq1.578.1471.plus.P21	415.05	33.53	-3.63	0.000107	yes	down	K01661	"map00130,map01100,map01110,map01240"	Prochlorococcus	K01661_Prochlorococcus
comp14838_c0_seq1.18.1178.minus.P31	0.93	17.44	4.09	0.000153	yes	up	K00457	"map00130,map00350,map00360,map01100,map01240"	Psychroserpens	K00457_Psychroserpens
comp42949_c0_seq2.296.2056.plus.P32	0.16	4.13	4.01	0.000156	yes	up	K02551	"map00130,map01100,map01110,map01240"	Psychroserpens	K02551_Psychroserpens
comp16185_c2_seq1.5789.6376.plus.P22	99.87	8.15	-3.6	0.000198	yes	down	K03181	"map00130,map01100,map01110,map01240"	Prochlorococcus	K03181_Prochlorococcus
comp21328_c15_seq1.1108.2904.plus.P23	190.92	18.56	-3.36	0.000274	yes	down	K02551	"map00130,map01100,map01110,map01240"	Prochlorococcus	K02551_Prochlorococcus
comp21841_c0_seq1.7748.8635.plus.P21	138.45	13.87	-3.31	0.00033	yes	down	K03179	"map00130,map01100,map01110,map01240"	Prochlorococcus	K03179_Prochlorococcus
comp22724_c42_seq1.22.1587.minus.P21	228.41	23.61	-3.27	0.000416	yes	down	K03182	"map00130,map01100,map01110,map01240"	Prochlorococcus	K03182_Prochlorococcus
comp16014_c6_seq1.6753.7361.plus.P11	244.47	27.12	-3.17	0.000556	yes	down	K03186	"map00130,map00627,map00740,map00900,map00940,map01100,map01110,map01120,map01220,map01240"	Prochlorococcus	K03186_Prochlorococcus
comp21230_c0_seq1.23225.24397.plus.P21	50.2	5.8	-3.09	0.000884	yes	down	K01911	"map00130,map01100,map01110,map01240"	Prochlorococcus	K01911_Prochlorococcus
comp16019_c1_seq1.13745.15145.plus.P11	53.67	6.65	-2.99	0.00103	yes	down	K02552	"map00130,map01053,map01100,map01110,map01240"	Prochlorococcus	K02552_Prochlorococcus
comp17858_c0_seq1.1.692.minus.P61	0.5	11.14	4.24	0.0013	no	up	K03183	"map00130,map01100,map01110,map01240"	Psychroserpens	K03183_Psychroserpens
comp14029_c3_seq1.11666.12598.plus.P13	176.87	22.39	-2.98	0.00147	no	down	K18534	"map00130,map01100,map01110,map01240"	Prochlorococcus	K18534_Prochlorococcus
