GID	P1_vs_P2	P1_vs_P3	P1_vs_P4	P1_vs_P5	P1_vs_P6	P2_vs_P3	P2_vs_P4	P2_vs_P5	P2_vs_P6	P2_vs_P7	P3_vs_P4	P3_vs_P5	P3_vs_P6	P3_vs_P7	P4_vs_P5	P4_vs_P6	P5_vs_P6	Gene_Symbol	gene_0me
EZ55_18_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biopolymer transport protein ExbD/TolR	-
EZ55_39_168	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG3436 Transposase and i0ctivated derivatives	-
R8W_33	0	0	down	0	0	0	down	0	0	0	0	0	0	0	up	0	0	0	0
R8W_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_42	0	0	down	0	0	0	down	0	0	0	down	0	0	0	up	0	0	0	0
R8W_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"response regulator, receiver"	-
EZ55_66_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	IS66 Orf2 like protein	-
EZ55_18_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HNH endonuclease	-
EZ55_21_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	May reduce aminoacrylate peracid to aminoacrylate. Required to remove a toxic intermediate produce by the pyrimidine nitrogen degradation	rutC
R8W_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_19_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_43_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Alcohol dehydroge0se GroES-like domain	-
R8W_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_19_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nitrite reductase	nirD
R8W_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D0 mediated transformation	-
R8W_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_45	0	0	down	0	down	0	down	0	down	0	down	0	down	0	up	0	down	0	0
R8W_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_44	0	0	down	0	down	0	down	0	down	0	down	0	down	0	up	up	down	0	0
R8W_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_18_11	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_18_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MotA/TolQ/ExbB proton channel family	-
R8W_25	0	0	down	0	0	0	down	0	0	0	down	0	0	0	up	0	0	D0 polymerase family A	-
R8W_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_5	0	0	down	0	0	0	down	0	0	0	down	0	0	0	up	0	0	0	0
EZ55_41_54	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	"Flagellar assembly protein T, C-termi0l domain"	-
R8W_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_18_227	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"COG1845 Heme copper-type cytochrome quinol oxidase, subunit 3"	cyoC
R8W_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	endonuclease activity	-
EZ55_21_74	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	"Catalyzes the pyrimidine ring opening between N-3 and C- 4 by an unusual flavin hydroperoxide-catalyzed mechanism to yield ureidoacrylate peracid. It cleaves pyrmidine rings directly by adding oxygen atoms, making a toxic ureidoacrylate peracid product which can be spontaneously reduced to ureidoacrylate"	rutA
EZ55_18_19	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Protein of unknown function (DUF3450)	-
R8W_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_18_18	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	MotA/TolQ/ExbB proton channel family	-
EZ55_70_107	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG4970 Tfp pilus assembly protein FimT	VP0657
R8W_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R8W_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_19_114	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"ABC-type nitrate sulfo0te bicarbo0te transport system, permease component"	nrtB
EZ55_19_36	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-
EZ55_21_79	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Flavin reductase like domain	rutF
EZ55_18_139	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	glucose galactose transporter	gluP
EZ55_18_20	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Receptor	fepA
EZ55_18_146	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	"oxidase, subunit"	cydB
EZ55_15_81	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR	cheB
EZ55_2_47	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	moeB
EZ55_18_147	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	oxidase subunit 1	cydA
EZ55_3_23	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	PFAM IstB domain protein ATP-binding protein	istB3
EZ55_19_113	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"COG0715 ABC-type nitrate sulfo0te bicarbo0te transport systems, periplasmic components"	nrtC
R8W_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_14_3	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG0189 Glutathione synthase Ribosomal protein S6 modification enzyme (glutaminyl transferase)	-
EZ55_60_100	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	enoyl-CoA hydratase	atuE
EZ55_43_11	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	YKOF-related Family	-
EZ55_18_9	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Periplasmic protein	DR1793
EZ55_18_228	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Belongs to the heme-copper respiratory oxidase family	cyoB
EZ55_4_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_2_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Thiamine biosynthesis	thiS
EZ55_1_23	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_60_31	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Chemotaxis	-
EZ55_18_110	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	PepSY-associated TM region	-
EZ55_13_24	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-
EZ55_60_362	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	receptor	-
EZ55_19_104	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family	nirB
EZ55_40_2	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_27_8	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Haem-degrading	-
EZ55_32_37	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Protein of unknown function (DUF2490)	-
EZ55_18_15	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	"Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins"	-
EZ55_60_267	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"Catalyzes the synthesis of acetoacetyl coenzyme A from two molecules of acetyl coenzyme A. It can also act as a thiolase, catalyzing the reverse reaction and generating two-carbon units from the four-carbon product of fatty acid oxidation"	-
EZ55_21_77	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	May increase the rate of spontaneous hydrolysis of aminoacrylate to malonic semialdehyde. Required to remove a toxic intermediate produce in the pyrimidine nitrogen degradation	rutD
EZ55_2_45	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S"	thiG
R8W_36	0	0	down	0	down	0	down	0	down	0	0	0	down	0	up	0	down	0	0
EZ55_60_24	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_18_234	0	down	0	down	0	down	0	down	0	0	up	up	up	up	down	0	up	Amb_all	pelB
EZ55_15_37	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Protein of unknown function (DUF2034)	mrr
EZ55_60_97	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG1960 Acyl-CoA dehydroge0ses	atuD
EZ55_60_363	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	membrane transporter protein	-
EZ55_43_253	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_6_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COG1145 Ferredoxin	yfhL
EZ55_13_25	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-
EZ55_15_39	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Caulimovirus viroplasmin	-
EZ55_18_214	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Predicted periplasmic protein (DUF2271)	-
EZ55_18_144	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	"COG4988 ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components"	cydD
EZ55_21_75	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"In vivo, quickly hydrolyzes the ureidoacrylate peracid to avoid toxicity, but can also hydrolyzes ureidoacrylate that is formed spontaneously from ureidoacrylate peracid. One of the products of hydrolysis, carbamate, hydrolyzes spontaneously, thereby releasing one of the pyrimidine rings nitrogen atoms as ammonia and one of its carbons as CO2"	rutB
EZ55_1_11	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Barrel-sandwich domain of CusB or HlyD membrane-fusion	czcB
EZ55_35_32	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	GntR family transcriptio0l regulator	rhgT
EZ55_60_27	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP	-
EZ55_60_30	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Pfam CheW-like	-
EZ55_12_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_30_29	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	MAPEG family	-
EZ55_18_215	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Ca2 -binding protein (EF-Hand superfamily	-
EZ55_43_229	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	LytTr D0-binding domain	-
EZ55_39_167	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Transposase	-
EZ55_21_78	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Nitroreductase family	rutE
EZ55_1_34	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Outer membrane receptor	-
EZ55_60_101	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	"Acetyl propionyl-CoA carboxylase, alpha subunit"	mccA
EZ55_19_37	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-
EZ55_2_48	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)	thiE
EZ55_60_345	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	"Type VIII secretion system (T8SS), CsgF protein"	csgF
EZ55_25_24	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_19_35	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Outer membrane efflux protein	-
EZ55_60_269	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	HxlR-like helix-turn-helix	-
EZ55_60_261	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Aldehyde dehydroge0se family	-
EZ55_60_260	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_60_103	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG1028 Dehydroge0ses with different specificities (related to short-chain alcohol dehydroge0ses)	atuB
EZ55_52_50	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG2199 FOG GGDEF domain	-
EZ55_18_233	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	TonB dependent receptor	-
EZ55_19_61	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	"IG-like fold at C-termi0l of FixG, putative oxidoreductase"	ccoG
EZ55_3_20	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	hydrolase of the alpha beta superfamily	-
EZ55_59_29	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	SOS response associated peptidase (SRAP)	-
EZ55_43_116	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Belongs to the flagella basal body rod proteins family	flgG
EZ55_21_91	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG0346 Lactoylglutathione lyase and related lyases	-
EZ55_60_278	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Lipase (class 3)	-
EZ55_60_202	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_15_42	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	COG0464 ATPases of the AAA class	-
EZ55_18_108	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix D0-binding domain	-
EZ55_18_10	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Putative PepSY_TM-like	-
EZ55_18_14	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Tetratricopeptide repeat	-
EZ55_13_23	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	"RND efflux system, outer membrane lipoprotein"	nodT
EZ55_60_270	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Flavodoxin-like fold	-
EZ55_43_95	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Flagellar hook-basal body	fliE
EZ55_28_80	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Adenosine/AMP deami0se	-
EZ55_2_35	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	TonB dependent receptor	-
R8W_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hydrolase activity	-
EZ55_60_283	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	0	TonB dependent receptor	fcuA
EZ55_18_226	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	cytochrome o ubiquinol oxidase	cyoD
EZ55_29_39	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Ammonium transporter	amtB
EZ55_19_106	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	0sA
EZ55_43_238	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_24_1	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	0	0
EZ55_18_210	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	TonB-dependent Receptor Plug Domain	-
EZ55_27_7	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Oxidoreductase	ydhF
EZ55_4_122	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	ATPase with chaperone activity	comM
R8W_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Cupin 2, conserved barrel domain protein"	-
EZ55_13_43	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	Putative amidoligase enzyme (DUF2126)	IV02_11925
EZ55_70_105	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Pilus assembly protein PilX	-
EZ55_4_166	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_35_7	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-
EZ55_60_99	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)"	atuC
EZ55_18_217	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	receptor	hupA
EZ55_21_80	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG1012 0D-dependent aldehyde dehydroge0ses	mmsA
EZ55_18_12	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	iron-regulated membrane protein	-
EZ55_18_225	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group	cyoE
EZ55_41_67	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Outer membrane efflux protein	-
EZ55_43_114	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	flgI
EZ55_60_271	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Redoxin	-
EZ55_39_70	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Flavodoxin-like fold	-
EZ55_1_2	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	gag-polyprotein putative aspartyl protease	-
EZ55_15_43	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Belongs to the 'phage' integrase family	-
EZ55_41_53	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	-
EZ55_69_1	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_70_104	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_18_111	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	TonB dependent receptor	-
EZ55_43_56	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	TonB dependent receptor	-
EZ55_35_34	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG0800 2-keto-3-deoxy-6-phosphogluco0te aldolase	-
EZ55_14_6	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	"COG2274 ABC-type bacteriocin lantibiotic exporters, contain an N-termi0l double-glycine peptidase domain"	cvaB
EZ55_14_10	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	von Willebrand factor (vWF) type A domain	-
EZ55_19_101	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Nitrate-and nitrite-responsive positive regulator	0sR
EZ55_31_85	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Lactoylglutathione lyase	-
EZ55_39_46	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Ubiquinone biosynthesis protein COQ7	-
EZ55_18_138	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	Family 3	-
EZ55_6_11	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	COG0826 Collage0se and related proteases	yegQ
EZ55_60_54	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	cusA
R8W_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_60_349	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	Belongs to the peptidase S8 family	-
EZ55_18_216	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Domain of unknown function (DUF4198)	-
EZ55_43_10	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	nicoti0mide mononucleotide transporter	pnuC
EZ55_30_64	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_42_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZ55_14_14	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	PFAM secretion protein HlyD family protein	-
EZ55_15_80	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis"	cheD
EZ55_70_86	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	Acyltransferase	-
EZ55_21_93	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_35_6	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	YrhK-like protein	-
EZ55_12_26	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"COG1902 0DH flavin oxidoreductases, Old Yellow Enzyme family"	nemA
EZ55_43_3	0	down	0	0	0	down	0	0	0	0	up	0	up	up	0	0	0	Arabinose efflux permease	ydhP
EZ55_60_98	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	COG2070 Dioxyge0ses related to 2-nitropropane dioxyge0se	-
EZ55_14_9	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	"Secreted protein, containing von Willebrand factor"	-
EZ55_59_22	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Protein of unknown function (DUF3360)	-
EZ55_60_165	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	0	Bacterial PH domain	-
EZ55_19_26	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	S0RE associated Golgi protein	Z012_09465
EZ55_18_109	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Histidine ki0se	-
EZ55_60_62	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_10_20	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	"COG1629 Outer membrane receptor proteins, mostly Fe transport"	-
EZ55_31_83	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Protein of unknown function (DUF2938)	-
EZ55_43_97	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	Histidine ki0se	fleS
EZ55_18_36	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_60_268	0	down	0	0	0	down	0	0	0	0	up	up	0	up	0	0	0	CoA-transferase family III	-
EZ55_19_22	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	0	0
EZ55_6_7	0	down	0	down	0	down	0	down	0	0	up	0	up	up	down	0	up	Aminotransferase	hisC2
EZ55_13_89	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	)-iron permease	-
EZ55_4_158	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	Family 3	celD
EZ55_1_12	0	down	0	down	0	down	0	down	0	0	up	up	0	up	down	0	0	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	czcA
EZ55_19_107	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	Tetrapyrrole (Corrin/Porphyrin) Methylases	-
EZ55_1_18	0	down	0	0	0	down	0	0	0	0	up	up	up	up	0	0	0	LytTr D0-binding domain	-
EZ55_18_7	0	down	0	down	0	down	0	down	0	0	up	0	0	up	down	0	0	Flavodoxin	cysJ
EZ55_18_229	0	down	0	0	0	down	0	0	0	0	up	0	0	up	0	0	0	"COG1622 Heme copper-type cytochrome quinol oxidases, subunit 2"	cyoA
