GID	P1_vs_P2	P1_vs_P3	P1_vs_P4	P1_vs_P5	P1_vs_P6	P2_vs_P3	P2_vs_P4	P2_vs_P5	P2_vs_P6	P2_vs_P7	P3_vs_P4	P3_vs_P5	P3_vs_P6	P3_vs_P7	P4_vs_P5	P4_vs_P6	P5_vs_P6	Gene_Symbol	gene_name
R8W_23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HNH endonuclease	-
EZ55_21_76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	May reduce aminoacrylate peracid to aminoacrylate. Required to remove a toxic intermediate produce by the pyrimidine nitrogen degradation	rutC
R8W_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_19_21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_43_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Alcohol dehydrogenase GroES-like domain	-
R8W_29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_19_105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Nitrite reductase	nirD
R8W_6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DNA mediated transformation	-
R8W_7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R8W_45	NA	NA	down	NA	down	NA	down	NA	down	NA	down	NA	down	NA	up	NA	down	NA	NA
R8W_18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R8W_44	NA	NA	down	NA	down	NA	down	NA	down	NA	down	NA	down	NA	up	up	down	NA	NA
R8W_15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_18_11	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_18_17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MotA/TolQ/ExbB proton channel family	-
R8W_25	NA	NA	down	NA	NA	NA	down	NA	NA	NA	down	NA	NA	NA	up	NA	NA	DNA polymerase family A	-
R8W_50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R8W_5	NA	NA	down	NA	NA	NA	down	NA	NA	NA	down	NA	NA	NA	up	NA	NA	NA	NA
EZ55_41_54	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	"Flagellar assembly protein T, C-terminal domain"	-
R8W_38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_18_227	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"COG1845 Heme copper-type cytochrome quinol oxidase, subunit 3"	cyoC
R8W_32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	endonuclease activity	-
EZ55_21_74	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	"Catalyzes the pyrimidine ring opening between N-3 and C- 4 by an unusual flavin hydroperoxide-catalyzed mechanism to yield ureidoacrylate peracid. It cleaves pyrmidine rings directly by adding oxygen atoms, making a toxic ureidoacrylate peracid product which can be spontaneously reduced to ureidoacrylate"	rutA
EZ55_18_19	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Protein of unknown function (DUF3450)	-
R8W_27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_18_18	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	MotA/TolQ/ExbB proton channel family	-
EZ55_70_107	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG4970 Tfp pilus assembly protein FimT	VP0657
R8W_37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R8W_39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_19_114	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"ABC-type nitrate sulfonate bicarbonate transport system, permease component"	nrtB
EZ55_19_36	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-
EZ55_21_79	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Flavin reductase like domain	rutF
EZ55_18_139	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	glucose galactose transporter	gluP
EZ55_18_20	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Receptor	fepA
EZ55_18_146	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	"oxidase, subunit"	cydB
EZ55_15_81	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR	cheB
EZ55_2_47	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	moeB
EZ55_18_147	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	oxidase subunit 1	cydA
EZ55_3_23	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	PFAM IstB domain protein ATP-binding protein	istB3
EZ55_19_113	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"COG0715 ABC-type nitrate sulfonate bicarbonate transport systems, periplasmic components"	nrtC
R8W_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_14_3	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG0189 Glutathione synthase Ribosomal protein S6 modification enzyme (glutaminyl transferase)	-
EZ55_60_100	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	enoyl-CoA hydratase	atuE
EZ55_43_11	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	YKOF-related Family	-
EZ55_18_9	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Periplasmic protein	DR1793
EZ55_18_228	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Belongs to the heme-copper respiratory oxidase family	cyoB
EZ55_4_106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_2_46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Thiamine biosynthesis	thiS
EZ55_1_23	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_60_31	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Chemotaxis	-
EZ55_18_110	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	PepSY-associated TM region	-
EZ55_13_24	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-
EZ55_60_362	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	receptor	-
EZ55_19_104	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Belongs to the nitrite and sulfite reductase 4Fe-4S domain family	nirB
EZ55_40_2	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_27_8	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Haem-degrading	-
EZ55_32_37	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Protein of unknown function (DUF2490)	-
EZ55_18_15	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	"Interacts with outer membrane receptor proteins that carry out high-affinity binding and energy dependent uptake into the periplasmic space of specific substrates. It could act to transduce energy from the cytoplasmic membrane to specific energy- requiring processes in the outer membrane, resulting in the release into the periplasm of ligands bound by these outer membrane proteins"	-
EZ55_60_267	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"Catalyzes the synthesis of acetoacetyl coenzyme A from two molecules of acetyl coenzyme A. It can also act as a thiolase, catalyzing the reverse reaction and generating two-carbon units from the four-carbon product of fatty acid oxidation"	-
EZ55_21_77	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	May increase the rate of spontaneous hydrolysis of aminoacrylate to malonic semialdehyde. Required to remove a toxic intermediate produce in the pyrimidine nitrogen degradation	rutD
EZ55_2_45	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S"	thiG
R8W_36	NA	NA	down	NA	down	NA	down	NA	down	NA	NA	NA	down	NA	up	NA	down	NA	NA
EZ55_60_24	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_18_234	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	up	up	down	NA	up	Amb_all	pelB
EZ55_15_37	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Protein of unknown function (DUF2034)	mrr
EZ55_60_97	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG1960 Acyl-CoA dehydrogenases	atuD
EZ55_60_363	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	membrane transporter protein	-
EZ55_43_253	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_6_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COG1145 Ferredoxin	yfhL
EZ55_13_25	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-
EZ55_15_39	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Caulimovirus viroplasmin	-
EZ55_18_214	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Predicted periplasmic protein (DUF2271)	-
EZ55_18_144	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	"COG4988 ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components"	cydD
EZ55_21_75	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"In vivo, quickly hydrolyzes the ureidoacrylate peracid to avoid toxicity, but can also hydrolyzes ureidoacrylate that is formed spontaneously from ureidoacrylate peracid. One of the products of hydrolysis, carbamate, hydrolyzes spontaneously, thereby releasing one of the pyrimidine rings nitrogen atoms as ammonia and one of its carbons as CO2"	rutB
EZ55_1_11	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Barrel-sandwich domain of CusB or HlyD membrane-fusion	czcB
EZ55_35_32	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	GntR family transcriptional regulator	rhgT
EZ55_60_27	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP	-
EZ55_60_30	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Pfam CheW-like	-
EZ55_12_31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZ55_30_29	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	MAPEG family	-
EZ55_18_215	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Ca2 -binding protein (EF-Hand superfamily	-
EZ55_43_229	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	LytTr DNA-binding domain	-
EZ55_39_167	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Transposase	-
EZ55_21_78	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Nitroreductase family	rutE
EZ55_1_34	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Outer membrane receptor	-
EZ55_60_101	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	"Acetyl propionyl-CoA carboxylase, alpha subunit"	mccA
EZ55_19_37	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	-
EZ55_2_48	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP)	thiE
EZ55_60_345	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	"Type VIII secretion system (T8SS), CsgF protein"	csgF
EZ55_25_24	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_19_35	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Outer membrane efflux protein	-
EZ55_60_269	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	HxlR-like helix-turn-helix	-
EZ55_60_261	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Aldehyde dehydrogenase family	-
EZ55_60_260	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_60_103	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	atuB
EZ55_52_50	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG2199 FOG GGDEF domain	-
EZ55_18_233	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	TonB dependent receptor	-
EZ55_19_61	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	"IG-like fold at C-terminal of FixG, putative oxidoreductase"	ccoG
EZ55_3_20	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	hydrolase of the alpha beta superfamily	-
EZ55_59_29	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	SOS response associated peptidase (SRAP)	-
EZ55_43_116	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Belongs to the flagella basal body rod proteins family	flgG
EZ55_21_91	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG0346 Lactoylglutathione lyase and related lyases	-
EZ55_60_278	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Lipase (class 3)	-
EZ55_60_202	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_15_42	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	COG0464 ATPases of the AAA class	-
EZ55_18_108	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	-
EZ55_18_10	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Putative PepSY_TM-like	-
EZ55_18_14	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Tetratricopeptide repeat	-
EZ55_13_23	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	"RND efflux system, outer membrane lipoprotein"	nodT
EZ55_60_270	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Flavodoxin-like fold	-
EZ55_43_95	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Flagellar hook-basal body	fliE
EZ55_28_80	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Adenosine/AMP deaminase	-
EZ55_2_35	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	TonB dependent receptor	-
R8W_24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hydrolase activity	-
EZ55_60_283	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	NA	TonB dependent receptor	fcuA
EZ55_18_226	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	cytochrome o ubiquinol oxidase	cyoD
EZ55_29_39	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	up	up	NA	NA	NA	Ammonium transporter	amtB
EZ55_19_106	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	nasA
EZ55_43_238	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_24_1	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	NA	NA
EZ55_18_210	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	TonB-dependent Receptor Plug Domain	-
EZ55_27_7	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Oxidoreductase	ydhF
EZ55_4_122	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	ATPase with chaperone activity	comM
R8W_34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Cupin 2, conserved barrel domain protein"	-
EZ55_13_43	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	Putative amidoligase enzyme (DUF2126)	IV02_11925
EZ55_70_105	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Pilus assembly protein PilX	-
EZ55_4_166	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_35_7	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity	-
EZ55_60_99	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	"Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha and beta)"	atuC
EZ55_18_217	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	receptor	hupA
EZ55_21_80	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG1012 NAD-dependent aldehyde dehydrogenases	mmsA
EZ55_18_12	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	iron-regulated membrane protein	-
EZ55_18_225	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Converts heme B (protoheme IX) to heme O by substitution of the vinyl group on carbon 2 of heme B porphyrin ring with a hydroxyethyl farnesyl side group	cyoE
EZ55_41_67	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	up	up	NA	NA	NA	Outer membrane efflux protein	-
EZ55_43_114	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	flgI
EZ55_60_271	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Redoxin	-
EZ55_39_70	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Flavodoxin-like fold	-
EZ55_1_2	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	gag-polyprotein putative aspartyl protease	-
EZ55_15_43	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	Belongs to the 'phage' integrase family	-
EZ55_41_53	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	up	NA	up	NA	NA	NA	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	-
EZ55_69_1	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_70_104	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	NA	NA
EZ55_18_111	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	up	up	down	NA	up	TonB dependent receptor	-
EZ55_43_56	NA	down	NA	down	NA	down	NA	down	NA	NA	up	NA	NA	up	down	NA	NA	TonB dependent receptor	-
EZ55_35_34	NA	down	NA	NA	NA	down	NA	NA	NA	NA	up	NA	NA	up	NA	NA	NA	COG0800 2-keto-3-deoxy-6-phosphogluconate aldolase	-
EZ55_14_6	NA	down	NA	down	NA	down	NA	down	NA	NA	up	up	NA	up	down	NA	NA	"COG2274 ABC-type bacteriocin lantibiotic exporters, contain an N-terminal double-glycine peptidase domain"	cvaB
